# sam; rmse; rmse; ergas; uqi
0.11242;17.79456;0.06978;16.46857;0.99209
0.12296;19.42076;0.07616;17.99608;0.99076
0.13904;21.92440;0.08598;20.33006;0.98854
0.15018;23.65487;0.09276;21.94011;0.98684
