# mean; median; std; sam; rmse; rmse; ergas; uqi
1.28749;1.00000;1.55051;0.11388;2.01537;0.00790;1.07894;0.97511
1.05584;1.00000;1.63529;0.08656;1.94653;0.00763;1.07894;0.95768
0.78820;1.00000;1.41125;0.06116;1.61644;0.00634;1.07894;0.86941
0.59298;0.00000;1.37139;0.05441;1.49410;0.00586;1.07894;0.81948
0.50661;0.00000;1.37103;0.05195;1.46163;0.00573;1.07894;0.82250
0.47377;0.00000;1.40878;0.05358;1.48631;0.00583;1.07894;0.82551
0.45555;0.00000;1.51108;0.05698;1.57826;0.00619;1.07894;0.85342
0.43695;0.00000;1.63906;0.06088;1.69630;0.00665;1.07894;0.87138
0.49786;0.00000;1.69795;0.06514;1.76943;0.00694;1.07894;0.82365
0.53905;0.00000;1.65883;0.06425;1.74422;0.00684;1.07894;0.79868
0.51643;0.00000;1.61844;0.06157;1.69884;0.00666;1.07894;0.81059
0.49802;0.00000;1.62969;0.05932;1.70409;0.00668;1.07894;0.83400
0.52441;0.00000;1.58957;0.05652;1.67384;0.00656;1.07894;0.82215
0.55480;0.00000;1.50510;0.05363;1.60410;0.00629;1.07894;0.81049
0.58235;0.00000;1.45682;0.05155;1.56891;0.00615;1.07894;0.81684
0.59081;0.00000;1.43864;0.04936;1.55523;0.00610;1.07894;0.83144
0.56785;0.00000;1.44876;0.04648;1.55607;0.00610;1.07894;0.84399
0.60345;0.00000;1.49043;0.04413;1.60796;0.00631;1.07894;0.84400
0.67358;0.00000;1.56941;0.04262;1.70786;0.00670;1.07894;0.84446
0.78804;0.00000;1.64911;0.04076;1.82773;0.00717;1.07894;0.84888
0.86727;1.00000;1.70486;0.03859;1.91278;0.00750;1.07894;0.86827
0.91228;1.00000;1.75193;0.03691;1.97523;0.00775;1.07894;0.88416
0.88972;1.00000;1.79265;0.03581;2.00129;0.00785;1.07894;0.88633
0.87423;0.00000;1.83550;0.03562;2.03307;0.00797;1.07894;0.89026
1.03032;1.00000;1.93508;0.03665;2.19228;0.00860;1.07894;0.88758
1.06194;1.00000;2.06451;0.03953;2.32162;0.00910;1.07894;0.89019
1.24064;1.00000;2.36394;0.04575;2.66972;0.01047;1.07894;0.88535
1.61026;1.00000;3.03872;0.05840;3.43901;0.01349;1.07894;0.87699
2.02510;1.00000;3.84290;0.07162;4.34383;0.01703;1.07894;0.86303
2.43779;1.00000;4.54861;0.08186;5.16069;0.02024;1.07894;0.86549
2.96597;1.00000;5.07624;0.09085;5.87922;0.02306;1.07894;0.87119
