# sam; rmse; rmse; ergas; uqi
0.05281;2.17974;0.00855;3.96590;0.84915
0.05633;2.41506;0.00947;1.07894;0.85782
0.05890;2.70099;0.01059;0.29246;0.85680
0.07276;3.30752;0.01297;0.08860;0.82851
0.22983;9.84762;0.03862;0.07698;0.78110
