# mean; median; std; sam; rmse; rmse; ergas; uqi
1.16328;1.00000;1.70442;0.11941;2.06356;0.00809;0.29246;0.97983
1.13982;1.00000;1.81577;0.09706;2.14388;0.00841;0.29246;0.95416
0.83272;1.00000;1.39759;0.06216;1.62686;0.00638;0.29246;0.87117
0.71832;1.00000;1.34850;0.05499;1.52788;0.00599;0.29246;0.78677
0.62144;0.00000;1.35703;0.05210;1.49256;0.00585;0.29246;0.79379
0.53590;0.00000;1.38586;0.05276;1.48586;0.00583;0.29246;0.81097
0.51019;0.00000;1.51963;0.05663;1.60299;0.00629;0.29246;0.84890
0.52110;0.00000;1.68957;0.06012;1.76810;0.00693;0.29246;0.85575
0.56756;0.00000;1.70915;0.06330;1.80092;0.00706;0.29246;0.80643
0.59441;0.00000;1.67391;0.06275;1.77632;0.00697;0.29246;0.79431
0.58441;0.00000;1.63680;0.06014;1.73800;0.00682;0.29246;0.80201
0.53421;0.00000;1.65696;0.05799;1.74095;0.00683;0.29246;0.83274
0.50071;0.00000;1.60814;0.05550;1.68429;0.00661;0.29246;0.83300
0.51129;0.00000;1.50873;0.05258;1.59301;0.00625;0.29246;0.83224
0.50419;0.00000;1.42951;0.05011;1.51581;0.00594;0.29246;0.84430
0.49651;0.00000;1.40760;0.04797;1.49260;0.00585;0.29246;0.85837
0.48352;0.00000;1.42067;0.04575;1.50069;0.00589;0.29246;0.86592
0.51318;0.00000;1.45661;0.04346;1.54436;0.00606;0.29246;0.86101
0.58943;0.00000;1.49558;0.04183;1.60754;0.00630;0.29246;0.84359
0.65461;0.00000;1.55800;0.04008;1.68993;0.00663;0.29246;0.85086
0.70288;0.00000;1.65171;0.03808;1.79505;0.00704;0.29246;0.88491
0.68755;0.00000;1.67741;0.03657;1.81285;0.00711;0.29246;0.90540
0.74618;0.00000;1.74454;0.03629;1.89742;0.00744;0.29246;0.90244
0.83183;0.00000;1.85363;0.03700;2.03172;0.00797;0.29246;0.90931
1.05188;0.00000;2.09958;0.04075;2.34833;0.00921;0.29246;0.90074
1.30824;1.00000;2.41133;0.04669;2.74336;0.01076;0.29246;0.88830
1.64812;1.00000;2.85084;0.05578;3.29296;0.01291;0.29246;0.87090
2.16565;1.00000;3.69348;0.07086;4.28156;0.01679;0.29246;0.85392
2.63923;1.00000;4.54555;0.08487;5.25619;0.02061;0.29246;0.84239
3.10962;1.00000;5.28255;0.09592;6.12984;0.02404;0.29246;0.84482
3.75296;2.00000;5.83281;0.10643;6.93588;0.02720;0.29246;0.83160
