# mean; median; std; sam; rmse; rmse; ergas; uqi
3.94916;3.00000;4.99394;0.20650;6.36673;0.02497;0.42884;0.97556
4.13614;2.00000;6.74985;0.22741;7.91632;0.03104;0.42884;0.97420
2.78686;1.00000;5.49845;0.17263;6.16438;0.02417;0.42884;0.98281
1.99530;1.00000;4.47959;0.14438;4.90387;0.01923;0.42884;0.98081
1.58800;1.00000;3.85317;0.12822;4.16758;0.01634;0.42884;0.97876
1.43171;1.00000;3.63898;0.12699;3.91049;0.01534;0.42884;0.97989
1.76220;1.00000;4.02526;0.14256;4.39409;0.01723;0.42884;0.95798
1.87710;1.00000;4.24815;0.15222;4.64439;0.01821;0.42884;0.93680
2.01057;1.00000;4.11814;0.14887;4.58274;0.01797;0.42884;0.94959
1.98122;1.00000;3.80874;0.13308;4.29322;0.01684;0.42884;0.95523
2.07525;1.00000;3.68868;0.10256;4.23238;0.01660;0.42884;0.96617
2.78186;1.00000;4.24079;0.07361;5.07179;0.01989;0.42884;0.97498
3.34943;1.00000;4.89918;0.07263;5.93470;0.02327;0.42884;0.97325
2.84236;1.00000;4.22619;0.06978;5.09311;0.01997;0.42884;0.97579
2.09764;1.00000;3.55012;0.06866;4.12352;0.01617;0.42884;0.97931
1.50549;1.00000;3.25553;0.07442;3.58678;0.01407;0.42884;0.97870
1.65380;1.00000;3.39451;0.08985;3.77594;0.01481;0.42884;0.96670
2.07373;1.00000;3.86289;0.10348;4.38432;0.01719;0.42884;0.96046
2.34476;1.00000;4.31331;0.10070;4.90944;0.01925;0.42884;0.96088
2.46895;1.00000;4.49928;0.08510;5.13217;0.02013;0.42884;0.96783
2.49120;1.00000;4.08790;0.06535;4.78718;0.01877;0.42884;0.97400
2.53495;1.00000;3.93853;0.05776;4.68380;0.01837;0.42884;0.97358
3.03354;1.00000;4.47375;0.06689;5.40525;0.02120;0.42884;0.97388
3.41924;2.00000;4.85992;0.07592;5.94222;0.02330;0.42884;0.97420
3.60337;2.00000;5.00929;0.08047;6.17068;0.02420;0.42884;0.97202
3.87224;2.00000;5.30609;0.08966;6.56878;0.02576;0.42884;0.96836
4.23986;2.00000;5.69317;0.10033;7.09849;0.02784;0.42884;0.96371
4.50987;2.00000;6.09193;0.11623;7.57961;0.02972;0.42884;0.96005
4.87578;3.00000;6.53795;0.13033;8.15586;0.03198;0.42884;0.95621
5.16122;3.00000;6.65657;0.13365;8.42308;0.03303;0.42884;0.96001
5.96606;4.00000;6.79519;0.13714;9.04259;0.03546;0.42884;0.94912
