# mean; median; std; sam; rmse; rmse; ergas; uqi
5.55550;4.00000;6.35548;0.28431;8.44131;0.03310;0.05514;0.94953
5.40546;3.00000;8.12794;0.28142;9.76127;0.03828;0.05514;0.95300
4.27230;2.00000;8.36807;0.25825;9.39559;0.03685;0.05514;0.95705
3.98016;2.00000;8.71157;0.27041;9.57774;0.03756;0.05514;0.93972
3.75639;1.00000;9.91323;0.29599;10.60106;0.04157;0.05514;0.94354
3.48279;1.00000;10.39661;0.31330;10.96446;0.04300;0.05514;0.92884
3.45954;1.00000;10.45321;0.32183;11.01081;0.04318;0.05514;0.89951
3.56200;1.00000;10.37168;0.30878;10.96629;0.04301;0.05514;0.87299
3.45690;1.00000;9.04402;0.26891;9.68217;0.03797;0.05514;0.91096
3.82201;1.00000;8.70580;0.25321;9.50783;0.03729;0.05514;0.91499
4.52206;2.00000;8.87963;0.21079;9.96478;0.03908;0.05514;0.91342
5.22402;2.00000;9.83395;0.15495;11.13539;0.04367;0.05514;0.91776
5.65824;2.00000;10.66309;0.15757;12.07134;0.04734;0.05514;0.92435
5.34017;2.00000;11.83656;0.18757;12.98544;0.05092;0.05514;0.91863
4.96603;1.00000;12.33078;0.21542;13.29321;0.05213;0.05514;0.92028
4.64354;1.00000;12.02368;0.23983;12.88919;0.05055;0.05514;0.92500
4.74599;1.00000;11.75212;0.27080;12.67426;0.04970;0.05514;0.88084
5.31575;2.00000;12.19728;0.28871;13.30530;0.05218;0.05514;0.81947
5.89725;2.00000;11.69160;0.24628;13.09470;0.05135;0.05514;0.80086
5.59773;2.00000;8.67633;0.16674;10.32537;0.04049;0.05514;0.86684
5.38144;2.00000;8.03468;0.13735;9.67036;0.03792;0.05514;0.92011
4.98461;2.00000;8.29036;0.12052;9.67349;0.03794;0.05514;0.95844
5.35141;2.00000;8.29132;0.12078;9.86831;0.03870;0.05514;0.96667
5.51398;2.00000;8.21604;0.12939;9.89481;0.03880;0.05514;0.95965
5.69786;2.00000;8.29695;0.13735;10.06504;0.03947;0.05514;0.95648
5.71099;2.00000;8.75820;0.15502;10.45569;0.04100;0.05514;0.95224
6.00158;2.00000;9.31190;0.17399;11.07838;0.04344;0.05514;0.95071
6.62146;3.00000;9.79105;0.19486;11.81983;0.04635;0.05514;0.94438
7.13203;3.00000;10.24676;0.21476;12.48447;0.04896;0.05514;0.92725
7.14076;3.00000;10.33445;0.21665;12.56150;0.04926;0.05514;0.93306
7.86240;5.00000;10.00052;0.21481;12.72115;0.04989;0.05514;0.91641
