# MSE;MAE
0.1602746;0.3784337
0.1590930;0.3769026
0.1570514;0.3742661
0.1527530;0.3683723
0.1426363;0.3540799
0.1201987;0.3207381
0.0830638;0.2609077
0.0448764;0.1855325
0.0325561;0.1453745
0.0316499;0.1289416
0.0325968;0.1257847
0.0329260;0.1248682
0.0329146;0.1242849
0.0325947;0.1239909
0.0318944;0.1235894
0.0310641;0.1233423
0.0301515;0.1241684
0.0293328;0.1250544
0.0285916;0.1264924
0.0280101;0.1283106
0.0276628;0.1309303
0.0271989;0.1315197
0.0267260;0.1306155
0.0261867;0.1289974
0.0256555;0.1268971
0.0250311;0.1251001
0.0243987;0.1251312
0.0237868;0.1251314
0.0230844;0.1234837
0.0223707;0.1210446
0.0215755;0.1177928
0.0207466;0.1151380
0.0198336;0.1146316
0.0191810;0.1140793
0.0184261;0.1113114
0.0175800;0.1062374
0.0168882;0.1022424
0.0161331;0.1007427
0.0155260;0.0988108
0.0149678;0.0952655
0.0143801;0.0921882
0.0137542;0.0903585
0.0132385;0.0879683
0.0127508;0.0857201
0.0123299;0.0832744
0.0120381;0.0801588
0.0116301;0.0802961
0.0113246;0.0797475
0.0110568;0.0765309
0.0107273;0.0766046
0.0105578;0.0758662
0.0104091;0.0730630
0.0102395;0.0746992
0.0099043;0.0726591
0.0098891;0.0707703
0.0100050;0.0742630
0.0097815;0.0690868
0.0096437;0.0696015
0.0095509;0.0716873
0.0094747;0.0681239
0.0092493;0.0693186
0.0092138;0.0690278
0.0092241;0.0679862
0.0091538;0.0691884
0.0090473;0.0676852
0.0090014;0.0670565
0.0089736;0.0677781
0.0089830;0.0661221
0.0089682;0.0676950
0.0088797;0.0658879
0.0087706;0.0665471
0.0087720;0.0669394
0.0086406;0.0656370
0.0086911;0.0668099
0.0087593;0.0643504
0.0085404;0.0657756
0.0083644;0.0641251
0.0081917;0.0635603
0.0080684;0.0634448
0.0078981;0.0628286
0.0076464;0.0614052
0.0072994;0.0610277
0.0068906;0.0589215
0.0065117;0.0574454
0.0060210;0.0550557
0.0054683;0.0530469
0.0050231;0.0497993
0.0046478;0.0478313
0.0044318;0.0469846
0.0041942;0.0450449
0.0039056;0.0429776
0.0037050;0.0429439
0.0034864;0.0410926
0.0034130;0.0404229
0.0032141;0.0387537
0.0030386;0.0374776
0.0028805;0.0361556
0.0027335;0.0349537
0.0026922;0.0346558
0.0025266;0.0333511
0.0024689;0.0329032
0.0025048;0.0317255
0.0023194;0.0315253
0.0022239;0.0296933
0.0022276;0.0293837
0.0020424;0.0287832
0.0020193;0.0286230
0.0020438;0.0273496
0.0020002;0.0279321
0.0019905;0.0283217
0.0018673;0.0262983
0.0018286;0.0260770
0.0018717;0.0265349
0.0018065;0.0261058
0.0017644;0.0257266
0.0017680;0.0259828
0.0017038;0.0250294
0.0016654;0.0245167
0.0016508;0.0244843
0.0016226;0.0242760
0.0016064;0.0239877
0.0015912;0.0238673
0.0015671;0.0237449
0.0015683;0.0235094
0.0015631;0.0238078
0.0015191;0.0229857
0.0015345;0.0236449
0.0015284;0.0230244
0.0015945;0.0234701
0.0015707;0.0243067
0.0017017;0.0244291
0.0014632;0.0225091
0.0014258;0.0222496
0.0015038;0.0228724
0.0014269;0.0222698
0.0015425;0.0230605
0.0015141;0.0232522
0.0014478;0.0226515
0.0015843;0.0233326
0.0014758;0.0234408
0.0014008;0.0223111
0.0013896;0.0224816
0.0013534;0.0218348
0.0013514;0.0218459
0.0013001;0.0215420
0.0013060;0.0213597
0.0012787;0.0212209
0.0013613;0.0221583
0.0013222;0.0217455
0.0012860;0.0213100
0.0012690;0.0215994
0.0012537;0.0210455
0.0012309;0.0209795
0.0012183;0.0208797
0.0012205;0.0209375
0.0012266;0.0208904
0.0012068;0.0208447
0.0012480;0.0212128
0.0012524;0.0214492
0.0012014;0.0210030
0.0011691;0.0206486
0.0011906;0.0210666
0.0011841;0.0209102
0.0011558;0.0207536
0.0011248;0.0203354
0.0011332;0.0208301
0.0011128;0.0201273
0.0011275;0.0204563
0.0011081;0.0202180
0.0010994;0.0200375
0.0010868;0.0200031
0.0010764;0.0200409
0.0010917;0.0201671
0.0011003;0.0203918
0.0011540;0.0212471
0.0011614;0.0214052
0.0010993;0.0205714
0.0010937;0.0202089
0.0010707;0.0200560
0.0011009;0.0204387
0.0010563;0.0200454
0.0010567;0.0199421
0.0010165;0.0197026
0.0010156;0.0196199
0.0009925;0.0193170
0.0009942;0.0194126
0.0009885;0.0193714
0.0010051;0.0196663
0.0010197;0.0197422
0.0009888;0.0195549
0.0010093;0.0196359
0.0009913;0.0196437
0.0009879;0.0194667
0.0009685;0.0191491
0.0009602;0.0192484
0.0009457;0.0191538
0.0009561;0.0193365
0.0009752;0.0194247
0.0010002;0.0199822
0.0009985;0.0197918
0.0009448;0.0191834
0.0009253;0.0188519
0.0009030;0.0186005
0.0009130;0.0187383
0.0009012;0.0187209
0.0008956;0.0185188
0.0009098;0.0187984
0.0008897;0.0186738
0.0008859;0.0187102
0.0008812;0.0185821
0.0008961;0.0189008
0.0009544;0.0195382
0.0009328;0.0191466
0.0010314;0.0208030
0.0009979;0.0198989
0.0009389;0.0196374
0.0009151;0.0193302
0.0008637;0.0185990
0.0008715;0.0187933
0.0008553;0.0185795
0.0008364;0.0182469
0.0008213;0.0181376
0.0008475;0.0186723
0.0008685;0.0190252
0.0008188;0.0183331
0.0008245;0.0183708
0.0008088;0.0181364
0.0007951;0.0180008
0.0008122;0.0182841
0.0008011;0.0181736
0.0008263;0.0186306
0.0007900;0.0180252
0.0007704;0.0176659
0.0007815;0.0178986
0.0008154;0.0182675
0.0008060;0.0182322
0.0007769;0.0179709
0.0008091;0.0181588
0.0007827;0.0180095
0.0007615;0.0176955
0.0007472;0.0175089
0.0007396;0.0174964
0.0007395;0.0174475
0.0007296;0.0172998
0.0007335;0.0174178
0.0007329;0.0175354
0.0007381;0.0175979
0.0007304;0.0173954
0.0007227;0.0173014
0.0007179;0.0171619
0.0007132;0.0173832
0.0007374;0.0177236
0.0007448;0.0177222
0.0007370;0.0175219
0.0007206;0.0171859
0.0007059;0.0171139
0.0006906;0.0167979
0.0006980;0.0169468
0.0006942;0.0170299
0.0007192;0.0173376
0.0006982;0.0172759
0.0007042;0.0171098
0.0006841;0.0169735
0.0006783;0.0167404
0.0006684;0.0166818
0.0006699;0.0168083
0.0006676;0.0167691
0.0006660;0.0167065
0.0006598;0.0166491
0.0006729;0.0168553
0.0006572;0.0167121
0.0006719;0.0168450
0.0006502;0.0165406
0.0006452;0.0164410
0.0006390;0.0163074
0.0006444;0.0163651
0.0006470;0.0165186
0.0006430;0.0164300
0.0006416;0.0164378
0.0006390;0.0163165
0.0006315;0.0162331
0.0006362;0.0163373
0.0006225;0.0161198
0.0006184;0.0160675
0.0006301;0.0163536
0.0006216;0.0163175
0.0006250;0.0164594
0.0006295;0.0162048
0.0006251;0.0162954
0.0006270;0.0163559
0.0006318;0.0165259
0.0006132;0.0161550
0.0006103;0.0159929
0.0006101;0.0159300
0.0006119;0.0162302
0.0006356;0.0166262
0.0006120;0.0160620
0.0006173;0.0161717
0.0006283;0.0162254
0.0006482;0.0166929
0.0006186;0.0163138
0.0005987;0.0159388
0.0006014;0.0159314
0.0005903;0.0158785
0.0005955;0.0159509
0.0006042;0.0161386
0.0005917;0.0159473
0.0005863;0.0156163
0.0005952;0.0158355
0.0005848;0.0158541
0.0006312;0.0167312
0.0005944;0.0158969
0.0006173;0.0161882
0.0005918;0.0159197
0.0005675;0.0154536
0.0005680;0.0154381
0.0005711;0.0155317
0.0005736;0.0156927
0.0005663;0.0154115
0.0005648;0.0153164
0.0005652;0.0153915
0.0005616;0.0153762
0.0005621;0.0152839
0.0005568;0.0152537
0.0005579;0.0153452
0.0005555;0.0153330
0.0005618;0.0153300
0.0005573;0.0154159
0.0005564;0.0154624
0.0005611;0.0155944
0.0005512;0.0152739
0.0005525;0.0152974
0.0005477;0.0153229
0.0005505;0.0153694
0.0005465;0.0152575
0.0005576;0.0152425
0.0005557;0.0151308
0.0005597;0.0154508
0.0005588;0.0154045
0.0005423;0.0153171
0.0005474;0.0153421
0.0005550;0.0153393
0.0005500;0.0152870
0.0005360;0.0150481
0.0005380;0.0150635
0.0005347;0.0152853
0.0005425;0.0153342
0.0005562;0.0155406
0.0005547;0.0155915
0.0005980;0.0162946
0.0006036;0.0163138
0.0006674;0.0171283
0.0006353;0.0168960
0.0005897;0.0160975
0.0005601;0.0156439
0.0005467;0.0154676
0.0005477;0.0153626
0.0005369;0.0153584
0.0005332;0.0149783
0.0005312;0.0149486
0.0005273;0.0149189
0.0005373;0.0150860
0.0005498;0.0152947
0.0005524;0.0153958
0.0005260;0.0151077
0.0005198;0.0149405
0.0005177;0.0148866
0.0005097;0.0146268
0.0005067;0.0145796
0.0005073;0.0146849
0.0004988;0.0145055
0.0004982;0.0145358
0.0005044;0.0147088
0.0005022;0.0147228
0.0005005;0.0144336
0.0004980;0.0143766
0.0004960;0.0144410
0.0004932;0.0144263
0.0004968;0.0144669
0.0005020;0.0145882
0.0005024;0.0144049
0.0005117;0.0147188
0.0004988;0.0145860
0.0005059;0.0147136
0.0004978;0.0146195
0.0005053;0.0148445
0.0005343;0.0152695
0.0005277;0.0150859
0.0005702;0.0157721
0.0005240;0.0152647
0.0005626;0.0157080
0.0005219;0.0150338
0.0005238;0.0152358
0.0005111;0.0149246
0.0005017;0.0145464
0.0005323;0.0151207
0.0005089;0.0146992
0.0005000;0.0147397
0.0004882;0.0145016
0.0005216;0.0151864
0.0004968;0.0146054
0.0004965;0.0146551
0.0004789;0.0142514
0.0004714;0.0141546
0.0004683;0.0141556
0.0004703;0.0140681
0.0004805;0.0143094
0.0004655;0.0140629
0.0004666;0.0139845
0.0004658;0.0139551
0.0004660;0.0138674
0.0004639;0.0139772
0.0004748;0.0143018
0.0004721;0.0142809
0.0004637;0.0141180
0.0004680;0.0142037
0.0004699;0.0144338
0.0004868;0.0146723
0.0004805;0.0142650
0.0004704;0.0139421
0.0005067;0.0149281
0.0005026;0.0150998
0.0004802;0.0144282
0.0004707;0.0142074
0.0004592;0.0139866
0.0004560;0.0138318
0.0004566;0.0138844
0.0004488;0.0138007
0.0004559;0.0139964
0.0004493;0.0139389
0.0004628;0.0140506
0.0004862;0.0144467
0.0004786;0.0145839
0.0004518;0.0139425
0.0004459;0.0137502
0.0004440;0.0137601
0.0004436;0.0136536
0.0004421;0.0137496
0.0004410;0.0137658
0.0004535;0.0140930
0.0004736;0.0144802
0.0004562;0.0140953
0.0004443;0.0138006
0.0004386;0.0136040
0.0004438;0.0137890
0.0004395;0.0137997
0.0004438;0.0135766
0.0004459;0.0137295
0.0004511;0.0140182
0.0004509;0.0138044
0.0004496;0.0138959
0.0004523;0.0138150
0.0004314;0.0134581
0.0004372;0.0135050
0.0004313;0.0135526
0.0004390;0.0137431
0.0004346;0.0135421
0.0004611;0.0143607
0.0005283;0.0154514
0.0005305;0.0154833
0.0004583;0.0141583
0.0004741;0.0143735
0.0004788;0.0143744
0.0004595;0.0144463
0.0004332;0.0137671
0.0004233;0.0134031
0.0004123;0.0131793
0.0004210;0.0134757
0.0004288;0.0136686
0.0004305;0.0138046
0.0004639;0.0144491
0.0004708;0.0144608
0.0004683;0.0144938
0.0004148;0.0134275
0.0004505;0.0143125
0.0004571;0.0142221
0.0004332;0.0138768
0.0004784;0.0146853
0.0004267;0.0137126
0.0003998;0.0131901
0.0004010;0.0130264
0.0004002;0.0132524
0.0003840;0.0130067
0.0003817;0.0128512
0.0003802;0.0126807
0.0003729;0.0127740
0.0003745;0.0128628
0.0003755;0.0128995
0.0003707;0.0126866
0.0003633;0.0125071
0.0003630;0.0124544
0.0003620;0.0124556
0.0003571;0.0125306
0.0003523;0.0123303
0.0003531;0.0124790
0.0003466;0.0124193
0.0003483;0.0123077
0.0003467;0.0123189
0.0003366;0.0121388
0.0003380;0.0121119
0.0003369;0.0121159
0.0003334;0.0119940
0.0003309;0.0119326
0.0003282;0.0119325
0.0003265;0.0118445
0.0003230;0.0118071
0.0003199;0.0117851
0.0003191;0.0117758
0.0003173;0.0117947
0.0003181;0.0118846
0.0003355;0.0119652
0.0003200;0.0118807
0.0003241;0.0119955
0.0003131;0.0116906
0.0003075;0.0115654
0.0003105;0.0117368
0.0003044;0.0114606
0.0003072;0.0115783
0.0003304;0.0122938
0.0003128;0.0116749
0.0003174;0.0118737
0.0003193;0.0120498
0.0003161;0.0118946
0.0002946;0.0114521
0.0002975;0.0113917
0.0003028;0.0115014
0.0002844;0.0112072
0.0002871;0.0113046
0.0002810;0.0111879
0.0002906;0.0112663
0.0002911;0.0113302
0.0002783;0.0110582
0.0002760;0.0110864
0.0002727;0.0109305
0.0002742;0.0109340
0.0002979;0.0116315
0.0002993;0.0117315
0.0003116;0.0117671
0.0003243;0.0120089
0.0003736;0.0129733
0.0003521;0.0127160
0.0003256;0.0124012
0.0003416;0.0122794
0.0003446;0.0122593
0.0003114;0.0116866
0.0003330;0.0122044
0.0003356;0.0124365
0.0002987;0.0116283
0.0002753;0.0109501
0.0002585;0.0106230
0.0002639;0.0109002
0.0002535;0.0106293
0.0002566;0.0106578
0.0002477;0.0104686
0.0002488;0.0105028
0.0002488;0.0105030
0.0002431;0.0105036
0.0002432;0.0103499
0.0002356;0.0101791
0.0002403;0.0103474
0.0002487;0.0104774
0.0002322;0.0102195
0.0002311;0.0101885
0.0002317;0.0101514
0.0002299;0.0101506
0.0002252;0.0100376
0.0002254;0.0099566
0.0002210;0.0098816
0.0002211;0.0099072
0.0002206;0.0099798
0.0002272;0.0101227
0.0002314;0.0101840
0.0002181;0.0099002
0.0002195;0.0098464
0.0002375;0.0104053
0.0002209;0.0099495
0.0002300;0.0102033
0.0002185;0.0099989
0.0002333;0.0103365
0.0002209;0.0099830
0.0002235;0.0101493
0.0002321;0.0102845
0.0002409;0.0104884
0.0002592;0.0110352
0.0002831;0.0114738
0.0002703;0.0113033
0.0002593;0.0109837
0.0002277;0.0103110
0.0002158;0.0099369
0.0002079;0.0096793
0.0002070;0.0097449
0.0002067;0.0096894
0.0002024;0.0095561
