# sam; rmse; rmse; ergas; uqi
0.05432;2.66021;0.01043;3.26525;0.97982
0.07326;3.59376;0.01409;1.10170;0.98098
0.09431;4.66268;0.01829;0.36341;0.98153
0.12561;5.97662;0.02344;0.11845;0.98034
0.17893;8.44420;0.03311;0.04179;0.91999
