# mean; median; std; sam; rmse; rmse; ergas; uqi
4.18259;3.00000;4.62945;0.18117;6.23906;0.02447;0.04179;0.97156
3.93143;2.00000;7.04001;0.18433;8.06337;0.03162;0.04179;0.97443
3.34299;1.00000;7.49201;0.18851;8.20401;0.03217;0.04179;0.97655
3.67163;2.00000;8.07941;0.18978;8.87456;0.03480;0.04179;0.95831
3.41990;1.00000;7.53510;0.17689;8.27487;0.03245;0.04179;0.95495
2.80500;1.00000;6.46039;0.15907;7.04306;0.02762;0.04179;0.94621
2.40921;1.00000;5.75209;0.15195;6.23625;0.02446;0.04179;0.92523
2.44208;1.00000;5.81238;0.14962;6.30456;0.02472;0.04179;0.90973
2.56126;1.00000;6.01211;0.15542;6.53495;0.02563;0.04179;0.89486
2.46594;1.00000;5.76149;0.16096;6.26703;0.02458;0.04179;0.90227
2.69926;1.00000;6.12335;0.17147;6.69189;0.02624;0.04179;0.89555
3.66267;1.00000;7.08887;0.20085;7.97917;0.03129;0.04179;0.88694
4.96901;2.00000;9.06705;0.23574;10.33937;0.04055;0.04179;0.84454
5.37535;2.00000;9.56826;0.23796;10.97479;0.04304;0.04179;0.83148
5.03156;2.00000;9.00333;0.23078;10.31390;0.04045;0.04179;0.82985
4.44436;2.00000;8.34988;0.22381;9.45901;0.03709;0.04179;0.82010
3.96876;1.00000;7.94164;0.21154;8.87810;0.03482;0.04179;0.83621
3.60357;1.00000;7.34081;0.19539;8.17760;0.03207;0.04179;0.85786
3.22791;1.00000;6.59985;0.16840;7.34693;0.02881;0.04179;0.92204
2.46193;1.00000;5.89370;0.14545;6.38724;0.02505;0.04179;0.97337
2.93027;1.00000;5.51486;0.13573;6.24501;0.02449;0.04179;0.96569
3.58778;2.00000;5.75262;0.13377;6.77974;0.02659;0.04179;0.94948
4.03439;2.00000;6.19732;0.13706;7.39480;0.02900;0.04179;0.94128
4.21087;2.00000;6.52335;0.14313;7.76438;0.03045;0.04179;0.94135
4.10815;2.00000;6.82591;0.15485;7.96680;0.03124;0.04179;0.94307
4.03321;2.00000;7.09510;0.15885;8.16132;0.03201;0.04179;0.94563
4.15439;2.00000;7.48643;0.16224;8.56187;0.03358;0.04179;0.95297
4.61633;2.00000;7.85263;0.17525;9.10903;0.03572;0.04179;0.95977
5.43359;2.00000;8.59794;0.18733;10.17096;0.03989;0.04179;0.96535
6.85330;4.00000;9.45280;0.20558;11.67575;0.04579;0.04179;0.93997
9.05762;6.00000;10.07563;0.23411;13.54839;0.05313;0.04179;0.90301
