# mean; median; std; sam; rmse; rmse; ergas; uqi
2.11877;1.00000;3.88624;0.12826;4.42629;0.01736;3.26525;0.99057
2.29461;1.00000;4.95127;0.12400;5.45714;0.02140;3.26525;0.98916
1.31904;1.00000;3.68203;0.09115;3.91117;0.01534;3.26525;0.99385
0.97850;1.00000;2.52672;0.05963;2.70958;0.01063;3.26525;0.99505
0.81408;0.00000;2.03757;0.04841;2.19418;0.00860;3.26525;0.99608
0.71635;0.00000;1.71884;0.04335;1.86215;0.00730;3.26525;0.99373
0.76498;0.00000;1.66514;0.04611;1.83245;0.00719;3.26525;0.98521
0.75039;0.00000;1.65812;0.04440;1.82001;0.00714;3.26525;0.98465
0.80073;1.00000;1.57353;0.04233;1.76555;0.00692;3.26525;0.98539
0.87729;1.00000;1.58137;0.04690;1.80842;0.00709;3.26525;0.97788
0.79964;1.00000;1.50939;0.04393;1.70813;0.00670;3.26525;0.98191
0.68245;0.00000;1.41529;0.03989;1.57124;0.00616;3.26525;0.98345
0.71498;0.00000;1.39898;0.03686;1.57110;0.00616;3.26525;0.98497
0.72906;1.00000;1.38566;0.03582;1.56575;0.00614;3.26525;0.98326
0.77738;1.00000;1.39293;0.03807;1.59517;0.00626;3.26525;0.97648
0.75886;1.00000;1.37302;0.03956;1.56877;0.00615;3.26525;0.96953
0.76146;1.00000;1.43039;0.04177;1.62044;0.00635;3.26525;0.96450
0.73427;1.00000;1.50535;0.04324;1.67489;0.00657;3.26525;0.96506
0.78424;1.00000;1.64825;0.04457;1.82531;0.00716;3.26525;0.96728
0.96861;1.00000;1.84202;0.04790;2.08117;0.00816;3.26525;0.95789
0.88890;1.00000;1.96376;0.04690;2.15557;0.00845;3.26525;0.96267
0.81186;1.00000;1.96264;0.04293;2.12393;0.00833;3.26525;0.97059
0.86947;1.00000;2.04138;0.04196;2.21883;0.00870;3.26525;0.97260
0.93366;1.00000;2.17338;0.04427;2.36544;0.00928;3.26525;0.97263
0.91380;1.00000;2.35047;0.04962;2.52185;0.00989;3.26525;0.97466
0.98393;1.00000;2.42827;0.05134;2.62004;0.01027;3.26525;0.97452
1.12867;1.00000;2.56254;0.05323;2.80009;0.01098;3.26525;0.97629
1.25782;1.00000;2.77493;0.05864;3.04669;0.01195;3.26525;0.98185
1.55309;1.00000;3.06751;0.06306;3.43827;0.01348;3.26525;0.98516
1.94773;1.00000;3.37287;0.06814;3.89485;0.01527;3.26525;0.98792
2.50763;2.00000;3.78379;0.07778;4.53931;0.01780;3.26525;0.98972
