# mean; median; std; sam; rmse; rmse; ergas; uqi
2.68681;1.00000;4.34689;0.14390;5.11022;0.02004;0.36341;0.98705
2.95852;1.00000;5.74774;0.14181;6.46447;0.02535;0.36341;0.98504
2.21214;1.00000;4.65245;0.10851;5.15158;0.02020;0.36341;0.98610
1.78100;1.00000;4.39925;0.09097;4.74609;0.01861;0.36341;0.98716
1.54068;1.00000;3.95752;0.07859;4.24684;0.01665;0.36341;0.99008
1.53199;1.00000;3.59565;0.07147;3.90841;0.01533;0.36341;0.98666
1.48841;1.00000;3.59301;0.08039;3.88910;0.01525;0.36341;0.97914
1.46919;1.00000;3.53765;0.07607;3.83060;0.01502;0.36341;0.98025
1.29479;1.00000;3.47447;0.07742;3.70789;0.01454;0.36341;0.98465
1.23537;1.00000;3.52317;0.08919;3.73348;0.01464;0.36341;0.98116
1.30968;1.00000;3.53881;0.08842;3.77338;0.01480;0.36341;0.97961
1.45685;1.00000;3.32058;0.07686;3.62611;0.01422;0.36341;0.97603
1.30542;1.00000;3.38884;0.07504;3.63158;0.01424;0.36341;0.97762
1.37002;1.00000;3.41683;0.07530;3.68126;0.01444;0.36341;0.97802
1.27042;1.00000;3.43778;0.07962;3.66501;0.01437;0.36341;0.97833
1.18077;1.00000;3.46805;0.08516;3.66355;0.01437;0.36341;0.97268
1.18960;1.00000;3.60247;0.09111;3.79380;0.01488;0.36341;0.96396
1.03652;1.00000;3.49530;0.09225;3.64575;0.01430;0.36341;0.96557
1.12396;1.00000;3.58186;0.09159;3.75407;0.01472;0.36341;0.97337
1.21986;1.00000;4.06902;0.09696;4.24794;0.01666;0.36341;0.97924
1.21975;1.00000;4.40832;0.09836;4.57396;0.01794;0.36341;0.98233
1.26151;0.00000;4.54430;0.09464;4.71615;0.01849;0.36341;0.98757
1.35474;1.00000;4.53439;0.08938;4.73244;0.01856;0.36341;0.98937
1.42493;1.00000;4.55562;0.08929;4.77327;0.01872;0.36341;0.98830
1.41390;1.00000;4.62701;0.09449;4.83822;0.01897;0.36341;0.98470
1.48630;1.00000;4.67116;0.09523;4.90192;0.01922;0.36341;0.98482
1.68556;1.00000;4.80645;0.09666;5.09344;0.01997;0.36341;0.98645
1.92672;1.00000;5.05719;0.10315;5.41179;0.02122;0.36341;0.98369
2.39706;1.00000;5.43208;0.10845;5.93745;0.02328;0.36341;0.98423
3.06853;2.00000;5.80025;0.11486;6.56192;0.02573;0.36341;0.98381
4.01456;2.00000;6.32056;0.12853;7.48773;0.02936;0.36341;0.98048
