# sam; rmse; rmse; ergas; uqi
0.17117;21.76983;0.08537;6.79683;0.96373
0.18707;23.77733;0.09324;1.84700;0.95925
0.21717;27.59007;0.10820;0.53150;0.94812
0.23982;30.24682;0.11861;0.14522;0.94106
0.24096;31.23991;0.12251;0.03755;0.93349
