# MSE;MAE
0.0387691;0.1332735
0.0015712;0.0269521
0.0008991;0.0207943
0.0007030;0.0180130
0.0005699;0.0159486
0.0004569;0.0141254
0.0003349;0.0119892
0.0002614;0.0105080
0.0002326;0.0098809
0.0002288;0.0098134
0.0002306;0.0099191
0.0001884;0.0089273
0.0002150;0.0094431
0.0001686;0.0084602
0.0001589;0.0082102
0.0001622;0.0083127
0.0001652;0.0084769
0.0001433;0.0077988
0.0001503;0.0080138
0.0001351;0.0075777
0.0001410;0.0077197
0.0001483;0.0078459
0.0001185;0.0070725
0.0001425;0.0076476
0.0001061;0.0066248
0.0002080;0.0090807
0.0001262;0.0070219
0.0001025;0.0064888
0.0001041;0.0065416
0.0001027;0.0064878
0.0001195;0.0068897
0.0001081;0.0066751
0.0000944;0.0061886
0.0001064;0.0065966
0.0000977;0.0063716
0.0000923;0.0061352
0.0001055;0.0064377
0.0001113;0.0065429
0.0000910;0.0060853
0.0001046;0.0065151
0.0000840;0.0058379
0.0000814;0.0057610
0.0001242;0.0067858
0.0001355;0.0072008
0.0000753;0.0054997
0.0000752;0.0054850
0.0000755;0.0055336
0.0000935;0.0061585
0.0000864;0.0059586
0.0000837;0.0058147
0.0000761;0.0055758
0.0000758;0.0055700
0.0001000;0.0063164
0.0000767;0.0055866
0.0000771;0.0056386
0.0000702;0.0054006
0.0000732;0.0055025
0.0000721;0.0053775
0.0000891;0.0060367
0.0000604;0.0049865
0.0000730;0.0055177
0.0000702;0.0054056
0.0000660;0.0052662
0.0000717;0.0054270
0.0000661;0.0052576
0.0000826;0.0058650
0.0000538;0.0047085
0.0000587;0.0049458
0.0000666;0.0052580
0.0000637;0.0051364
0.0000574;0.0049063
0.0000621;0.0051106
0.0000626;0.0051151
0.0000635;0.0051792
0.0000576;0.0049206
0.0000668;0.0052158
0.0000628;0.0051422
0.0000576;0.0049531
0.0000690;0.0053462
0.0000563;0.0048551
0.0000535;0.0047633
0.0000753;0.0055371
0.0000583;0.0049646
0.0000531;0.0047278
0.0000508;0.0046462
0.0000586;0.0049597
0.0000555;0.0047355
0.0000597;0.0049323
0.0000542;0.0047980
0.0000544;0.0047963
0.0000602;0.0050762
0.0000511;0.0046465
0.0000491;0.0045668
0.0000531;0.0047471
0.0000580;0.0049766
0.0000465;0.0044690
0.0000491;0.0045632
0.0000589;0.0049556
0.0000485;0.0045194
0.0000648;0.0051143
