# mean; median; std; sam; rmse; rmse; ergas; uqi
0.88548;1.00000;1.23926;0.03871;1.52310;0.00597;1.10638;0.99766
0.70945;0.00000;1.14821;0.02691;1.34970;0.00529;1.10638;0.99855
0.59701;0.00000;0.96144;0.02076;1.13172;0.00444;1.10638;0.99809
0.60357;0.00000;0.81768;0.01798;1.01632;0.00399;1.10638;0.99561
0.60785;1.00000;0.75467;0.01612;0.96903;0.00380;1.10638;0.99573
0.57246;0.00000;0.72437;0.01554;0.92327;0.00362;1.10638;0.99228
0.59179;0.00000;0.72748;0.01634;0.93779;0.00368;1.10638;0.98680
0.75503;1.00000;0.77684;0.01725;1.08330;0.00425;1.10638;0.96733
0.79575;1.00000;0.80922;0.01754;1.13493;0.00445;1.10638;0.96710
0.86277;1.00000;0.79106;0.01875;1.17053;0.00459;1.10638;0.95940
0.78610;1.00000;0.80331;0.01764;1.12395;0.00441;1.10638;0.97911
0.76233;1.00000;0.81120;0.01592;1.11319;0.00437;1.10638;0.97394
0.95473;1.00000;0.82637;0.01701;1.26269;0.00495;1.10638;0.96516
0.87509;1.00000;0.76382;0.01664;1.16156;0.00456;1.10638;0.96661
0.89906;1.00000;0.70671;0.01739;1.14357;0.00448;1.10638;0.94866
0.89119;1.00000;0.76392;0.01799;1.17379;0.00460;1.10638;0.93717
0.76406;1.00000;0.81259;0.01907;1.11538;0.00437;1.10638;0.94423
0.75868;1.00000;0.96756;0.02130;1.22954;0.00482;1.10638;0.94567
0.69905;1.00000;0.75247;0.01756;1.02708;0.00403;1.10638;0.94787
0.52444;0.00000;0.64138;0.01636;0.82850;0.00325;1.10638;0.94412
0.52198;0.00000;0.65863;0.01723;0.84039;0.00330;1.10638;0.94393
0.49668;0.00000;0.66061;0.01638;0.82650;0.00324;1.10638;0.94267
0.56635;0.00000;0.70659;0.01728;0.90555;0.00355;1.10638;0.94378
0.61243;1.00000;0.71835;0.01773;0.94398;0.00370;1.10638;0.94460
0.62069;1.00000;0.68369;0.01807;0.92341;0.00362;1.10638;0.94326
0.64482;1.00000;0.71872;0.01840;0.96559;0.00379;1.10638;0.95118
0.71048;1.00000;0.80043;0.01971;1.07027;0.00420;1.10638;0.96533
0.68805;1.00000;0.80598;0.02027;1.05973;0.00416;1.10638;0.96599
0.70695;1.00000;0.90322;0.02167;1.14699;0.00450;1.10638;0.98290
0.78288;1.00000;0.96991;0.02328;1.24645;0.00489;1.10638;0.98739
0.85122;1.00000;1.04822;0.02561;1.35031;0.00530;1.10638;0.98715
