# mean; median; std; sam; rmse; rmse; ergas; uqi
2.07040;1.00000;2.65345;0.08584;3.36561;0.01320;0.03906;0.98906
1.55070;1.00000;2.09624;0.05192;2.60747;0.01023;0.03906;0.99327
1.41008;1.00000;1.90523;0.04223;2.37028;0.00930;0.03906;0.99096
1.45658;1.00000;1.96603;0.04044;2.44681;0.00960;0.03906;0.98942
1.18203;1.00000;1.65809;0.03138;2.03628;0.00799;0.03906;0.99104
1.23855;1.00000;1.71686;0.03112;2.11698;0.00830;0.03906;0.99473
1.44028;1.00000;1.87449;0.03660;2.36392;0.00927;0.03906;0.99177
1.48709;1.00000;1.94154;0.03896;2.44561;0.00959;0.03906;0.98797
1.41960;1.00000;1.94330;0.04208;2.40659;0.00944;0.03906;0.98717
1.28297;1.00000;1.79777;0.04385;2.20862;0.00866;0.03906;0.98537
1.42438;1.00000;1.76334;0.04110;2.26676;0.00889;0.03906;0.98799
1.35083;1.00000;2.02586;0.04406;2.43492;0.00955;0.03906;0.98774
1.26680;1.00000;2.03427;0.04368;2.39647;0.00940;0.03906;0.98278
1.28808;1.00000;1.91090;0.04265;2.30450;0.00904;0.03906;0.96454
1.13413;1.00000;1.78370;0.04038;2.11372;0.00829;0.03906;0.94985
1.18067;1.00000;1.82511;0.04333;2.17370;0.00852;0.03906;0.93144
1.42800;1.00000;2.23206;0.05428;2.64977;0.01039;0.03906;0.93913
1.58126;1.00000;2.62809;0.06401;3.06712;0.01203;0.03906;0.93404
1.10819;1.00000;1.97450;0.04580;2.26423;0.00888;0.03906;0.94682
0.83488;1.00000;1.42953;0.03283;1.65547;0.00649;0.03906;0.96267
0.98693;1.00000;1.49521;0.03485;1.79156;0.00703;0.03906;0.96481
1.15086;1.00000;1.51534;0.03561;1.90282;0.00746;0.03906;0.96366
1.26162;1.00000;1.65857;0.03784;2.08387;0.00817;0.03906;0.96911
1.24119;1.00000;1.74264;0.03975;2.13948;0.00839;0.03906;0.97516
1.20039;1.00000;1.94649;0.04438;2.28687;0.00897;0.03906;0.97268
1.36501;1.00000;2.19819;0.04961;2.58752;0.01015;0.03906;0.97693
1.56380;1.00000;2.33792;0.05261;2.81271;0.01103;0.03906;0.98017
1.46307;1.00000;2.52382;0.05672;2.91723;0.01144;0.03906;0.98543
1.44689;1.00000;2.60922;0.05707;2.98354;0.01170;0.03906;0.98569
1.59158;1.00000;2.61451;0.05850;3.06085;0.01200;0.03906;0.97258
1.95261;1.00000;2.91065;0.06809;3.50493;0.01374;0.03906;0.96100
