# sam; rmse; rmse; ergas; uqi
0.01930;1.09887;0.00431;1.10638;0.96675
0.02626;1.42281;0.00558;0.35738;0.96956
0.03254;1.92895;0.00756;0.12119;0.96900
0.04618;2.48128;0.00973;0.03906;0.97403
0.12148;6.38281;0.02503;0.02511;0.94699
