# MSE;MAE
0.1421379;0.3560943
0.0873605;0.2604769
0.0457801;0.1518661
0.0456722;0.1484018
0.0430227;0.1460896
0.0387947;0.1481045
0.0306181;0.1311030
0.0202693;0.1073728
0.0127449;0.0792744
0.0085401;0.0632591
0.0073937;0.0577540
0.0068392;0.0557910
0.0063067;0.0541058
0.0058692;0.0534074
0.0054454;0.0517549
0.0054299;0.0517909
0.0051725;0.0505334
0.0046523;0.0487822
0.0048154;0.0496478
0.0045901;0.0481302
0.0044857;0.0479046
0.0044258;0.0473161
0.0043034;0.0468360
0.0042292;0.0465270
0.0041539;0.0457885
0.0041165;0.0458900
0.0042059;0.0459693
0.0040202;0.0449072
0.0039013;0.0443410
0.0038087;0.0434590
0.0037752;0.0433839
0.0035190;0.0419637
0.0034561;0.0414280
0.0033193;0.0403815
0.0030968;0.0391801
0.0028721;0.0376345
0.0027193;0.0368072
0.0025461;0.0352734
0.0023423;0.0340740
0.0020254;0.0321830
0.0016651;0.0290252
0.0014691;0.0269719
0.0014318;0.0264783
0.0014395;0.0265902
0.0014881;0.0271722
0.0014808;0.0271621
0.0013604;0.0258613
0.0013000;0.0253616
0.0012766;0.0254904
0.0012793;0.0251967
0.0012336;0.0248614
0.0012790;0.0255205
0.0012196;0.0249002
0.0011715;0.0240893
0.0011546;0.0242975
0.0011444;0.0240953
0.0011009;0.0236568
0.0010956;0.0234819
0.0010613;0.0234610
0.0010460;0.0229170
0.0010404;0.0230724
0.0011712;0.0241832
0.0011432;0.0241690
0.0010352;0.0229029
0.0009810;0.0222813
0.0009709;0.0224073
0.0009425;0.0218182
0.0009087;0.0216443
0.0009019;0.0212929
0.0008983;0.0214983
0.0008754;0.0212736
0.0008500;0.0207578
0.0008388;0.0205049
0.0008340;0.0206912
0.0008126;0.0201121
0.0008001;0.0202477
0.0007959;0.0201257
0.0007994;0.0198601
0.0007633;0.0196814
0.0007526;0.0193960
0.0007904;0.0200964
0.0007329;0.0187966
0.0007296;0.0190477
0.0007071;0.0188145
0.0007286;0.0189052
0.0007078;0.0186819
0.0007455;0.0190966
0.0006975;0.0186377
0.0006848;0.0182272
0.0006690;0.0181864
0.0006435;0.0176278
0.0006497;0.0177758
0.0006808;0.0183959
0.0006577;0.0176158
0.0006230;0.0176145
0.0006670;0.0178673
0.0006253;0.0172477
0.0005967;0.0169246
0.0005890;0.0168489
0.0005926;0.0169059
0.0006086;0.0170985
0.0005876;0.0167136
0.0005880;0.0166777
0.0005669;0.0165697
0.0006404;0.0176119
0.0006458;0.0175774
0.0005600;0.0163260
0.0005407;0.0160057
0.0005463;0.0161982
0.0005770;0.0166218
0.0005254;0.0156796
0.0005274;0.0158342
0.0005249;0.0157546
0.0004928;0.0150425
0.0005136;0.0155539
0.0005008;0.0152733
0.0004964;0.0152465
0.0004924;0.0151942
0.0004894;0.0151012
0.0004926;0.0152118
0.0004738;0.0148841
0.0004723;0.0146779
0.0004589;0.0145875
0.0004626;0.0147773
0.0004664;0.0147532
0.0004515;0.0145306
0.0004632;0.0145722
0.0004740;0.0148194
0.0004481;0.0145084
0.0004348;0.0140775
0.0004387;0.0142467
0.0004371;0.0141163
0.0004069;0.0134452
0.0004012;0.0134540
0.0003984;0.0134774
0.0004033;0.0133984
0.0004146;0.0137661
0.0004011;0.0135046
0.0003884;0.0132346
0.0003780;0.0130535
0.0003799;0.0131737
0.0003984;0.0133904
0.0003786;0.0131610
0.0003906;0.0133464
0.0003906;0.0133983
0.0003892;0.0132344
0.0003718;0.0131588
0.0003599;0.0128665
0.0003651;0.0130204
0.0003590;0.0127209
0.0003255;0.0120808
0.0003355;0.0124051
0.0003198;0.0121244
0.0003322;0.0124331
0.0003186;0.0120783
0.0004063;0.0138676
0.0003972;0.0136578
0.0003128;0.0120765
0.0002894;0.0114724
0.0002893;0.0115886
0.0002732;0.0111818
0.0002787;0.0112921
0.0002772;0.0112761
0.0002869;0.0114310
0.0002674;0.0110588
0.0002930;0.0117239
0.0002705;0.0112932
0.0002649;0.0110621
0.0002531;0.0108023
0.0002392;0.0103773
0.0002400;0.0104617
0.0002402;0.0104774
0.0002253;0.0100801
0.0002534;0.0107700
0.0002493;0.0107210
0.0002193;0.0099604
0.0002192;0.0099380
0.0002190;0.0099000
0.0002167;0.0099925
0.0002471;0.0108558
0.0002347;0.0102834
0.0002350;0.0103453
0.0002081;0.0097514
0.0002127;0.0098778
0.0002165;0.0100161
0.0002068;0.0096731
0.0002661;0.0110019
