# mean; median; std; sam; rmse; rmse; ergas; uqi
1.07794;1.00000;1.61453;0.04949;1.94131;0.00761;0.35738;0.99656
1.04073;1.00000;1.54969;0.03716;1.86673;0.00732;0.35738;0.99648
0.88925;1.00000;1.32856;0.02927;1.59870;0.00627;0.35738;0.99516
0.65773;1.00000;1.02359;0.02169;1.21670;0.00477;0.35738;0.99518
0.67488;1.00000;0.76385;0.01729;1.01928;0.00400;0.35738;0.99438
0.86087;1.00000;0.74362;0.01790;1.13757;0.00446;0.35738;0.98746
0.89326;1.00000;0.86314;0.02037;1.24215;0.00487;0.35738;0.98259
0.76883;1.00000;0.86811;0.02048;1.15961;0.00455;0.35738;0.97243
0.69916;1.00000;0.90596;0.02173;1.14437;0.00449;0.35738;0.97502
0.73817;1.00000;0.93330;0.02401;1.18993;0.00467;0.35738;0.97088
0.81849;1.00000;0.89933;0.02207;1.21603;0.00477;0.35738;0.98154
0.85641;1.00000;0.93033;0.02118;1.26449;0.00496;0.35738;0.97456
0.82615;1.00000;0.90133;0.02021;1.22267;0.00479;0.35738;0.97130
0.71534;1.00000;0.85566;0.01914;1.11529;0.00437;0.35738;0.97340
0.70404;1.00000;0.88268;0.02006;1.12907;0.00443;0.35738;0.95617
0.79503;1.00000;0.97823;0.02292;1.26056;0.00494;0.35738;0.94256
0.81385;1.00000;1.11935;0.02632;1.38394;0.00543;0.35738;0.94871
0.77429;1.00000;1.19352;0.02870;1.42268;0.00558;0.35738;0.94878
0.64095;1.00000;0.85901;0.02105;1.07178;0.00420;0.35738;0.94874
0.60977;0.00000;0.84922;0.02103;1.04546;0.00410;0.35738;0.94469
0.61989;0.00000;1.00699;0.02422;1.18250;0.00464;0.35738;0.94385
0.63762;1.00000;0.93690;0.02245;1.13329;0.00444;0.35738;0.93975
0.63115;1.00000;0.81574;0.01971;1.03140;0.00404;0.35738;0.94446
0.68621;1.00000;0.89656;0.02128;1.12903;0.00443;0.35738;0.94634
0.68898;1.00000;1.19414;0.02716;1.37865;0.00541;0.35738;0.94973
0.80442;1.00000;1.38859;0.03081;1.60477;0.00629;0.35738;0.95753
0.91299;1.00000;1.49580;0.03277;1.75242;0.00687;0.35738;0.96982
0.81773;1.00000;1.69101;0.03643;1.87835;0.00737;0.35738;0.98330
0.86016;1.00000;1.77058;0.03754;1.96846;0.00772;0.35738;0.99070
0.91906;1.00000;1.78036;0.03811;2.00358;0.00786;0.35738;0.98909
1.03229;1.00000;1.89940;0.04163;2.16179;0.00848;0.35738;0.98506
