# sam; rmse; rmse; ergas; uqi
0.11002;17.82981;0.06992;16.02221;0.99308
0.11284;18.29378;0.07174;16.44262;0.99273
0.12702;20.61833;0.08086;18.55144;0.99080
0.14142;22.95512;0.09002;20.65750;0.98884
0.15326;24.86900;0.09753;22.38148;0.98706
