# mean; median; std; sam; rmse; rmse; ergas; uqi
12.58953;10.00000;11.17176;0.10286;16.83165;0.06601;16.44262;0.99387
12.33084;9.00000;12.73913;0.10223;17.72950;0.06953;16.44262;0.99409
13.88586;10.00000;14.61269;0.13343;20.15807;0.07905;16.44262;0.99024
