# MSE;MAE
0.0435855;0.1687163
0.0183418;0.0977760
0.0160514;0.0911630
0.0157705;0.0905436
0.0150519;0.0877022
0.0148872;0.0877136
0.0146092;0.0864227
0.0143348;0.0852062
0.0142924;0.0852292
0.0140725;0.0844609
0.0136980;0.0827265
0.0136468;0.0832465
0.0134165;0.0823448
0.0129545;0.0804962
0.0130337;0.0812281
0.0126699;0.0793781
0.0127399;0.0803088
0.0122754;0.0781606
0.0122042;0.0776789
0.0122831;0.0789843
0.0118224;0.0766122
0.0118612;0.0773227
0.0113393;0.0755378
0.0113540;0.0759391
0.0115580;0.0777274
0.0109068;0.0747020
0.0106850;0.0742306
0.0107607;0.0746614
0.0108037;0.0754534
0.0105061;0.0740223
0.0103331;0.0737832
0.0102870;0.0738190
0.0101038;0.0732615
0.0104131;0.0748508
0.0098717;0.0726685
0.0097534;0.0720390
0.0097808;0.0725584
0.0097202;0.0724472
0.0096085;0.0718087
0.0096757;0.0720873
0.0093841;0.0709503
0.0092000;0.0701592
0.0093666;0.0712598
0.0094544;0.0715420
0.0092065;0.0706188
0.0094540;0.0716505
0.0094004;0.0714543
0.0091882;0.0707253
0.0090051;0.0697118
0.0090282;0.0702275
0.0090288;0.0700356
0.0087760;0.0693277
0.0088427;0.0693810
0.0089900;0.0703781
0.0091157;0.0710096
0.0086962;0.0689776
0.0087765;0.0694304
0.0087413;0.0691612
0.0089620;0.0703710
0.0086057;0.0686009
0.0089555;0.0706718
0.0084145;0.0678594
0.0085149;0.0687138
0.0085871;0.0688100
0.0085776;0.0686882
0.0084497;0.0679916
0.0084533;0.0683946
0.0085670;0.0686313
0.0085537;0.0689350
0.0084511;0.0683309
0.0088378;0.0700541
0.0084108;0.0682135
0.0082956;0.0676188
0.0084971;0.0681977
0.0082804;0.0674179
0.0081700;0.0671289
0.0081231;0.0667214
0.0081760;0.0670277
0.0082823;0.0675425
0.0082176;0.0674773
0.0082161;0.0675365
0.0082081;0.0676519
0.0081604;0.0672307
0.0083043;0.0682447
0.0079898;0.0666085
0.0079428;0.0661697
0.0078848;0.0661578
0.0079024;0.0664005
0.0078538;0.0659628
0.0078465;0.0661981
0.0079313;0.0663500
0.0080615;0.0671452
0.0081352;0.0671994
0.0079160;0.0662579
0.0080305;0.0667572
0.0078417;0.0661954
0.0078768;0.0663325
0.0079638;0.0667619
0.0080547;0.0672850
0.0077631;0.0660301
0.0077972;0.0660633
0.0075930;0.0652593
0.0075373;0.0647311
0.0076345;0.0653307
0.0075548;0.0648849
0.0076326;0.0654290
0.0078559;0.0664790
0.0076258;0.0656264
0.0077691;0.0656961
0.0077311;0.0659020
0.0076733;0.0655800
0.0074665;0.0646454
0.0075301;0.0651018
0.0074980;0.0647985
0.0075586;0.0652549
0.0078858;0.0666641
0.0074651;0.0645835
0.0074506;0.0646689
0.0076349;0.0654858
0.0075041;0.0647396
0.0074922;0.0650464
0.0074903;0.0647924
0.0076382;0.0659600
0.0076492;0.0661200
0.0074177;0.0645938
0.0072579;0.0638703
0.0075280;0.0656292
0.0074715;0.0648695
0.0072558;0.0639918
0.0073932;0.0647069
0.0073626;0.0643229
0.0073171;0.0643382
0.0073091;0.0643800
0.0072166;0.0638229
0.0072189;0.0637487
0.0073320;0.0647026
0.0070720;0.0633160
0.0071618;0.0640053
0.0069679;0.0628361
0.0072499;0.0641931
0.0070248;0.0628750
0.0071518;0.0635814
0.0070830;0.0635365
0.0071363;0.0639994
0.0071739;0.0640840
0.0071385;0.0638619
0.0069657;0.0628462
0.0071777;0.0642757
0.0068567;0.0624638
0.0069716;0.0630764
0.0070110;0.0629672
0.0070880;0.0636502
0.0071296;0.0639635
0.0069155;0.0628699
0.0071003;0.0636221
0.0068733;0.0628739
0.0067330;0.0618550
0.0068345;0.0624858
0.0069319;0.0628779
0.0067499;0.0619978
0.0069173;0.0625948
0.0067088;0.0617969
0.0068393;0.0623936
0.0066810;0.0618450
0.0070358;0.0639395
0.0068367;0.0626535
0.0067521;0.0620865
0.0068587;0.0628580
0.0066760;0.0617113
0.0067491;0.0621513
0.0065004;0.0608766
0.0065577;0.0615723
0.0064477;0.0606563
0.0066331;0.0614932
0.0063900;0.0606803
0.0066446;0.0619053
0.0064343;0.0604531
0.0063342;0.0599777
0.0065467;0.0614875
0.0063014;0.0599460
0.0064034;0.0606580
0.0062847;0.0599305
0.0063967;0.0605683
0.0064007;0.0606160
