# sam; rmse; rmse; ergas; uqi
0.04218;1.09070;0.00428;3.12543;0.79546
0.05309;1.57270;0.00617;0.98315;0.79497
0.06347;1.81511;0.00712;0.28869;0.81119
0.20111;4.85936;0.01906;0.26867;0.77493
0.41312;8.52089;0.03342;0.11970;0.60773
