# MSE;MAE
0.2032862;0.4347636
0.1292616;0.3340239
0.0304939;0.1111320
0.0228505;0.0702472
0.0226967;0.0675646
0.0226729;0.0670144
0.0226616;0.0667110
0.0226515;0.0664241
0.0226441;0.0662024
0.0226389;0.0660190
0.0226344;0.0658538
0.0226313;0.0657230
0.0226291;0.0656251
0.0226274;0.0655389
0.0226262;0.0654695
0.0226251;0.0654092
0.0226244;0.0653648
0.0226237;0.0653235
0.0226232;0.0652879
0.0226228;0.0652579
0.0226224;0.0652321
0.0226221;0.0652099
0.0226218;0.0651890
0.0226215;0.0651685
0.0226213;0.0651513
0.0226210;0.0651357
0.0226207;0.0651211
0.0226205;0.0651092
0.0226202;0.0650974
0.0226200;0.0650855
0.0226197;0.0650756
0.0226194;0.0650641
0.0226191;0.0650533
0.0226188;0.0650426
0.0226184;0.0650324
0.0226181;0.0650236
0.0226177;0.0650138
0.0226174;0.0650034
0.0226170;0.0649950
0.0226166;0.0649823
0.0226162;0.0649700
0.0226158;0.0649606
0.0226153;0.0649486
0.0226149;0.0649387
0.0226144;0.0649230
0.0226139;0.0649075
0.0226134;0.0648924
0.0226128;0.0648784
0.0226123;0.0648582
0.0226117;0.0648404
0.0226111;0.0648234
0.0226105;0.0648014
0.0226099;0.0647790
0.0226093;0.0647606
0.0226086;0.0647366
0.0226079;0.0647108
0.0226071;0.0646881
0.0226063;0.0646641
0.0226055;0.0646370
0.0226047;0.0646072
0.0226037;0.0645797
0.0226027;0.0645494
0.0226015;0.0645166
0.0226001;0.0644822
0.0225985;0.0644471
0.0225968;0.0644142
0.0225945;0.0643725
0.0225919;0.0643336
0.0225888;0.0643001
0.0225850;0.0642597
0.0225796;0.0642667
0.0225708;0.0642694
0.0225523;0.0643428
0.0225131;0.0646930
0.0224051;0.0645979
0.0221788;0.0640295
0.0185921;0.0617110
0.0083767;0.0494620
0.0060155;0.0420047
0.0051563;0.0387418
0.0045936;0.0360719
0.0041207;0.0336565
0.0037780;0.0320515
0.0035778;0.0306094
0.0032893;0.0291365
0.0030098;0.0279323
0.0026708;0.0260361
0.0022852;0.0239004
0.0020524;0.0223217
0.0019652;0.0213895
0.0019334;0.0211422
0.0018801;0.0203795
0.0018628;0.0201713
0.0018548;0.0200391
0.0018239;0.0196165
0.0018074;0.0195186
0.0017920;0.0192851
0.0017816;0.0190616
0.0017628;0.0188236
0.0017613;0.0188316
0.0017409;0.0184861
0.0017237;0.0183120
0.0017063;0.0182745
0.0016445;0.0181291
0.0015577;0.0178817
0.0012619;0.0173714
0.0009573;0.0161238
0.0007705;0.0149950
0.0006401;0.0139623
0.0005443;0.0129119
0.0005612;0.0131212
0.0005499;0.0130931
0.0004908;0.0122532
0.0004700;0.0118416
0.0004614;0.0118252
0.0004317;0.0115150
0.0004047;0.0112811
0.0004015;0.0112188
0.0003894;0.0110869
0.0003808;0.0109090
0.0003801;0.0109215
0.0003899;0.0110647
0.0003709;0.0108310
0.0003612;0.0106024
0.0003544;0.0105384
0.0003459;0.0103764
0.0003399;0.0103103
0.0003392;0.0102629
0.0003556;0.0105750
0.0003543;0.0106112
0.0003382;0.0103224
0.0003298;0.0101326
0.0003339;0.0103017
0.0003221;0.0100100
0.0003136;0.0097400
0.0002945;0.0094255
0.0002872;0.0092643
0.0002905;0.0093261
0.0002798;0.0091034
0.0002827;0.0091697
0.0002723;0.0090168
0.0002828;0.0091768
0.0002741;0.0090020
0.0002579;0.0085723
0.0002607;0.0086748
0.0002610;0.0087449
0.0002649;0.0087348
0.0002388;0.0083377
0.0002212;0.0080559
0.0002231;0.0080838
0.0002181;0.0079739
0.0002156;0.0079074
0.0002108;0.0077827
0.0002103;0.0077620
0.0002120;0.0078109
0.0002061;0.0076500
0.0002179;0.0079415
0.0002216;0.0080078
0.0002045;0.0076224
0.0002116;0.0077203
0.0002032;0.0076117
0.0002032;0.0076169
0.0001973;0.0074083
0.0001987;0.0074782
0.0002020;0.0075407
0.0002067;0.0076686
0.0002022;0.0075763
0.0002008;0.0074866
0.0001912;0.0072445
0.0002015;0.0075213
0.0002050;0.0075727
0.0001926;0.0073147
0.0001938;0.0073208
0.0001907;0.0072573
0.0001970;0.0073746
0.0002203;0.0078770
0.0001914;0.0072504
0.0001942;0.0073725
0.0001864;0.0071498
0.0001894;0.0072751
0.0001872;0.0071478
0.0001827;0.0070249
0.0001907;0.0072763
0.0001862;0.0071611
0.0001790;0.0070056
0.0001779;0.0069714
0.0001799;0.0070645
0.0001802;0.0070325
0.0001753;0.0069555
0.0001736;0.0069119
0.0001754;0.0069763
0.0001697;0.0068735
0.0001694;0.0069008
0.0001676;0.0069428
0.0001599;0.0066499
0.0001568;0.0066136
0.0001872;0.0073731
0.0001549;0.0066647
0.0001503;0.0065358
0.0001491;0.0065251
0.0001527;0.0066752
0.0001511;0.0066149
0.0001502;0.0065801
0.0001429;0.0063994
0.0001469;0.0064279
0.0001548;0.0067482
0.0001466;0.0063924
0.0001378;0.0062791
0.0001423;0.0063797
0.0001470;0.0065335
0.0001458;0.0065215
0.0001315;0.0061186
0.0001287;0.0060632
0.0001248;0.0059404
0.0001292;0.0061048
0.0001175;0.0059550
0.0001131;0.0058509
0.0001187;0.0059680
0.0001174;0.0059742
0.0001147;0.0058860
0.0001138;0.0058347
0.0001067;0.0057073
0.0000995;0.0056999
0.0001038;0.0058239
0.0001102;0.0059700
0.0000981;0.0057011
0.0000930;0.0054645
0.0000968;0.0055269
0.0000966;0.0055229
0.0000950;0.0055500
0.0000909;0.0053890
0.0000888;0.0053234
0.0000860;0.0052032
0.0000996;0.0055480
0.0000924;0.0053704
0.0000886;0.0052471
0.0000832;0.0051063
0.0000885;0.0052742
0.0000856;0.0051779
0.0000835;0.0050860
0.0000822;0.0050030
0.0000825;0.0050046
0.0000889;0.0051666
0.0000846;0.0050615
0.0000836;0.0050788
0.0000777;0.0048226
0.0000803;0.0049383
0.0000804;0.0049311
0.0000890;0.0051823
0.0000762;0.0047854
0.0000799;0.0049046
0.0000758;0.0047209
0.0000766;0.0047815
0.0000805;0.0048850
0.0000818;0.0049392
0.0000980;0.0054187
0.0000841;0.0049802
0.0000791;0.0047965
0.0000759;0.0046789
0.0000787;0.0048392
0.0000733;0.0046280
0.0000733;0.0046070
0.0000744;0.0046505
0.0000733;0.0046367
0.0000704;0.0045229
0.0000745;0.0046958
0.0000724;0.0046957
0.0000752;0.0049017
0.0000633;0.0046247
0.0000640;0.0046404
0.0000568;0.0043907
0.0000581;0.0046058
0.0000455;0.0042862
0.0000451;0.0042235
0.0000409;0.0040441
0.0000404;0.0040017
0.0000427;0.0041017
0.0000434;0.0041423
0.0000470;0.0042442
0.0000442;0.0041625
0.0000430;0.0041208
0.0000398;0.0039591
0.0000406;0.0040061
0.0000495;0.0043213
0.0000399;0.0039712
0.0000443;0.0041185
0.0000453;0.0041597
0.0000396;0.0039252
0.0000393;0.0039097
0.0000414;0.0040372
0.0000403;0.0039696
0.0000401;0.0039716
0.0000438;0.0041178
0.0000460;0.0041269
0.0000491;0.0042719
0.0000451;0.0040701
0.0000408;0.0039993
0.0000391;0.0038776
0.0000375;0.0038286
0.0000439;0.0041043
0.0000392;0.0039010
0.0000435;0.0040279
0.0000386;0.0038770
0.0000383;0.0038159
0.0000383;0.0038377
0.0000366;0.0037973
0.0000380;0.0038391
0.0000478;0.0041505
0.0000459;0.0040990
0.0000422;0.0040472
0.0000356;0.0037490
0.0000389;0.0038625
0.0000417;0.0039623
0.0000458;0.0040417
0.0000385;0.0038575
0.0000363;0.0037079
0.0000354;0.0036904
0.0000349;0.0036939
0.0000368;0.0037789
0.0000358;0.0037366
0.0000483;0.0041957
0.0000403;0.0039575
0.0000394;0.0038881
0.0000429;0.0040257
0.0000365;0.0038129
0.0000370;0.0037542
0.0000397;0.0039175
0.0000362;0.0037606
0.0000408;0.0039403
0.0000428;0.0040601
0.0000408;0.0040057
0.0000379;0.0038064
0.0000385;0.0038185
0.0000348;0.0036859
0.0000337;0.0036180
0.0000343;0.0036570
0.0000366;0.0037449
0.0000346;0.0036519
0.0000361;0.0037059
0.0000369;0.0037296
0.0000396;0.0038433
0.0000370;0.0038151
0.0000331;0.0035681
0.0000331;0.0035948
0.0000346;0.0036551
0.0000331;0.0035697
0.0000333;0.0035750
0.0000393;0.0038284
0.0000483;0.0042274
0.0000406;0.0038506
0.0000429;0.0039764
0.0000354;0.0036327
0.0000362;0.0037265
0.0000369;0.0037377
0.0000500;0.0042458
0.0000453;0.0041143
0.0000369;0.0037361
0.0000364;0.0037731
0.0000385;0.0037596
0.0000329;0.0035701
0.0000338;0.0035705
0.0000342;0.0036368
0.0000401;0.0038366
0.0000345;0.0035999
0.0000345;0.0036278
0.0000318;0.0035286
0.0000305;0.0034359
0.0000299;0.0034132
0.0000305;0.0034268
0.0000315;0.0035351
0.0000309;0.0034636
0.0000329;0.0035781
0.0000405;0.0039524
0.0000339;0.0036384
0.0000294;0.0033793
0.0000459;0.0040348
0.0000415;0.0039515
0.0000367;0.0037528
0.0000404;0.0039172
0.0000595;0.0043862
0.0000380;0.0037774
0.0000324;0.0035210
0.0000371;0.0037784
0.0000340;0.0036163
0.0000331;0.0035510
0.0000292;0.0033700
0.0000308;0.0034135
0.0000287;0.0033614
0.0000325;0.0035448
0.0000344;0.0036049
0.0000326;0.0035452
0.0000318;0.0035313
0.0000345;0.0036511
0.0000408;0.0038921
0.0000341;0.0035749
0.0000331;0.0035604
0.0000325;0.0035685
0.0000320;0.0034871
0.0000330;0.0035235
0.0000372;0.0037278
0.0000317;0.0034919
0.0000306;0.0034463
0.0000344;0.0036229
0.0000374;0.0037278
0.0000291;0.0033793
0.0000286;0.0033634
0.0000313;0.0035001
0.0000285;0.0033355
0.0000296;0.0033855
0.0000355;0.0035853
0.0000297;0.0033698
0.0000283;0.0032982
0.0000270;0.0032854
0.0000292;0.0033690
0.0000274;0.0032863
0.0000287;0.0033679
0.0000280;0.0033266
0.0000265;0.0032115
0.0000459;0.0040067
0.0000482;0.0040968
0.0000335;0.0035866
0.0000332;0.0034943
0.0000345;0.0035800
0.0000393;0.0038186
0.0000325;0.0035244
0.0000305;0.0034621
0.0000374;0.0037177
0.0000336;0.0035011
0.0000294;0.0033186
0.0000278;0.0033234
0.0000279;0.0032733
0.0000302;0.0033713
0.0000435;0.0038257
0.0000365;0.0036622
0.0000346;0.0035164
0.0000292;0.0033858
0.0000273;0.0032665
0.0000304;0.0034238
0.0000364;0.0037191
0.0000260;0.0032181
0.0000253;0.0031702
0.0000307;0.0034629
0.0000307;0.0034207
0.0000268;0.0032437
0.0000303;0.0034180
0.0000277;0.0032467
0.0000345;0.0035334
0.0000327;0.0035266
0.0000286;0.0033531
0.0000260;0.0032242
0.0000243;0.0031244
0.0000247;0.0031329
0.0000275;0.0032444
0.0000435;0.0038711
0.0000478;0.0040477
0.0000737;0.0048173
0.0000550;0.0042979
0.0000427;0.0039007
0.0000407;0.0037759
0.0000262;0.0032372
0.0000273;0.0032843
0.0000267;0.0032499
0.0000278;0.0032942
0.0000265;0.0032277
0.0000271;0.0032323
0.0000236;0.0030974
0.0000286;0.0033236
0.0000316;0.0034513
0.0000319;0.0034720
0.0000349;0.0035725
0.0000329;0.0035535
0.0000266;0.0032425
0.0000253;0.0031690
0.0000262;0.0032265
0.0000237;0.0030667
0.0000248;0.0031371
0.0000244;0.0031346
0.0000277;0.0032414
0.0000259;0.0031740
0.0000266;0.0032236
0.0000265;0.0032358
0.0000230;0.0030581
0.0000230;0.0030538
0.0000234;0.0030736
0.0000240;0.0031019
0.0000245;0.0031096
0.0000246;0.0031546
0.0000217;0.0029831
0.0000229;0.0030489
0.0000280;0.0032312
0.0000295;0.0033441
0.0000273;0.0032830
0.0000220;0.0029835
0.0000222;0.0030101
0.0000269;0.0031759
0.0000292;0.0033321
0.0000322;0.0034112
0.0000325;0.0035077
0.0000275;0.0032441
0.0000247;0.0031805
0.0000236;0.0030823
0.0000296;0.0033324
0.0000237;0.0030620
0.0000208;0.0029021
0.0000256;0.0031450
0.0000306;0.0033655
0.0000255;0.0031359
0.0000230;0.0030816
0.0000212;0.0029742
0.0000229;0.0030475
0.0000226;0.0030456
0.0000311;0.0033515
0.0000315;0.0034230
0.0000252;0.0031778
0.0000235;0.0030594
0.0000312;0.0034522
0.0000257;0.0031386
0.0000429;0.0037890
0.0000421;0.0037977
0.0000246;0.0031382
0.0000262;0.0032179
0.0000307;0.0033811
0.0000254;0.0031826
0.0000232;0.0030784
0.0000210;0.0029259
0.0000197;0.0028418
0.0000235;0.0030218
0.0000449;0.0037902
0.0000352;0.0035813
0.0000272;0.0032366
0.0000258;0.0031656
0.0000276;0.0032796
0.0000282;0.0033059
0.0000244;0.0030880
0.0000237;0.0030622
0.0000238;0.0030577
0.0000249;0.0031479
0.0000270;0.0032438
0.0000226;0.0029971
0.0000193;0.0028549
0.0000205;0.0028803
0.0000196;0.0028702
0.0000208;0.0028972
0.0000325;0.0033897
0.0000357;0.0035134
0.0000227;0.0029680
0.0000195;0.0028513
0.0000202;0.0028655
0.0000298;0.0032651
0.0000267;0.0032091
0.0000222;0.0029981
0.0000200;0.0028740
0.0000194;0.0028007
0.0000190;0.0027793
0.0000187;0.0027839
0.0000202;0.0028928
0.0000192;0.0028027
0.0000193;0.0028138
0.0000199;0.0028413
0.0000216;0.0029191
0.0000214;0.0029421
0.0000201;0.0028877
0.0000227;0.0029768
0.0000230;0.0030569
0.0000221;0.0029697
0.0000232;0.0030552
0.0000225;0.0030420
0.0000209;0.0029160
0.0000215;0.0029274
0.0000230;0.0030241
0.0000211;0.0029128
0.0000198;0.0028485
0.0000198;0.0028334
0.0000196;0.0028588
0.0000198;0.0028541
0.0000187;0.0028049
0.0000245;0.0030416
0.0000233;0.0030249
0.0000185;0.0027741
0.0000216;0.0029205
0.0000238;0.0030233
0.0000179;0.0027296
0.0000173;0.0026615
0.0000176;0.0027247
0.0000170;0.0026785
0.0000204;0.0028529
0.0000251;0.0031350
0.0000280;0.0033020
0.0000181;0.0027406
0.0000196;0.0027785
0.0000190;0.0027767
0.0000209;0.0028790
0.0000209;0.0029222
0.0000280;0.0032603
0.0000224;0.0029630
0.0000181;0.0027360
0.0000185;0.0027593
0.0000188;0.0027489
0.0000254;0.0031245
0.0000302;0.0032859
0.0000251;0.0030961
0.0000185;0.0027472
0.0000239;0.0030212
0.0000173;0.0026877
0.0000165;0.0026603
0.0000228;0.0029981
0.0000200;0.0028618
0.0000257;0.0030559
0.0000320;0.0034031
0.0000290;0.0032456
0.0000214;0.0029142
0.0000181;0.0027565
0.0000177;0.0027040
0.0000241;0.0029865
0.0000205;0.0028623
0.0000179;0.0027180
0.0000170;0.0026831
0.0000174;0.0027299
0.0000175;0.0026833
0.0000167;0.0026699
0.0000176;0.0027224
0.0000176;0.0027219
0.0000159;0.0026042
0.0000151;0.0025518
0.0000158;0.0026021
0.0000156;0.0025596
0.0000161;0.0026261
0.0000193;0.0028166
0.0000206;0.0028780
0.0000165;0.0026340
0.0000199;0.0028748
0.0000236;0.0030389
0.0000185;0.0027419
0.0000238;0.0029308
0.0000693;0.0044004
0.0000496;0.0040193
0.0000255;0.0031402
0.0000204;0.0028753
0.0000164;0.0026261
0.0000157;0.0025857
0.0000155;0.0025715
0.0000171;0.0026556
0.0000168;0.0026772
0.0000156;0.0025655
0.0000150;0.0025416
0.0000149;0.0025336
0.0000152;0.0025376
0.0000149;0.0025281
0.0000146;0.0025224
0.0000149;0.0025371
0.0000170;0.0026283
0.0000190;0.0027690
0.0000148;0.0025314
0.0000148;0.0025326
0.0000163;0.0025956
0.0000174;0.0026571
0.0000151;0.0025276
0.0000151;0.0025343
0.0000161;0.0026265
0.0000155;0.0025882
0.0000175;0.0026803
0.0000182;0.0027348
0.0000166;0.0026598
0.0000155;0.0025943
0.0000146;0.0025019
0.0000142;0.0024722
0.0000162;0.0025984
0.0000200;0.0028243
0.0000179;0.0027140
0.0000213;0.0028332
0.0000168;0.0026554
0.0000163;0.0026258
0.0000155;0.0025659
0.0000204;0.0028033
0.0000216;0.0029114
0.0000166;0.0026456
0.0000148;0.0025380
0.0000139;0.0024585
0.0000177;0.0026700
0.0000153;0.0025533
0.0000158;0.0025569
0.0000184;0.0027184
0.0000174;0.0026544
0.0000233;0.0029496
0.0000358;0.0033701
0.0000251;0.0029666
0.0000216;0.0028809
0.0000225;0.0028826
0.0000216;0.0029041
0.0000178;0.0027260
0.0000174;0.0026719
0.0000198;0.0027999
0.0000179;0.0027283
0.0000166;0.0026353
0.0000156;0.0025470
0.0000150;0.0025692
0.0000146;0.0025003
0.0000176;0.0027085
0.0000208;0.0028852
0.0000153;0.0025619
0.0000153;0.0025620
0.0000154;0.0025499
0.0000145;0.0024854
0.0000212;0.0028999
0.0000216;0.0028957
0.0000175;0.0026634
0.0000188;0.0027605
0.0000184;0.0027261
0.0000274;0.0030827
0.0000171;0.0026173
0.0000196;0.0027661
0.0000157;0.0025823
0.0000148;0.0024932
0.0000140;0.0024316
0.0000215;0.0028599
0.0000212;0.0029028
0.0000176;0.0026816
0.0000154;0.0025746
0.0000160;0.0025967
0.0000139;0.0024836
0.0000144;0.0024942
0.0000140;0.0024666
0.0000132;0.0024048
0.0000142;0.0024852
0.0000169;0.0026351
0.0000170;0.0026813
0.0000276;0.0031005
0.0000315;0.0032246
0.0000274;0.0031009
0.0000209;0.0028518
0.0000153;0.0025337
0.0000186;0.0027407
0.0000132;0.0024220
0.0000151;0.0025171
0.0000214;0.0028519
0.0000202;0.0028672
0.0000178;0.0026815
0.0000181;0.0027303
0.0000165;0.0026000
0.0000175;0.0026446
0.0000150;0.0025253
0.0000197;0.0027901
0.0000153;0.0025376
0.0000198;0.0027653
0.0000213;0.0027959
0.0000213;0.0028241
0.0000159;0.0026025
0.0000149;0.0025198
0.0000177;0.0026877
0.0000158;0.0025732
0.0000276;0.0029304
0.0000213;0.0028400
0.0000261;0.0030706
0.0000214;0.0028998
0.0000147;0.0024998
0.0000128;0.0023782
0.0000142;0.0024614
0.0000144;0.0024708
0.0000129;0.0023769
0.0000123;0.0023410
0.0000119;0.0023211
0.0000121;0.0023135
0.0000125;0.0023534
0.0000160;0.0025482
0.0000184;0.0027036
0.0000134;0.0023996
0.0000133;0.0024052
0.0000202;0.0027810
0.0000402;0.0035533
0.0000274;0.0030930
0.0000159;0.0026117
0.0000154;0.0025482
0.0000134;0.0024003
0.0000130;0.0023795
0.0000123;0.0023369
0.0000120;0.0023040
0.0000130;0.0023726
0.0000142;0.0024397
0.0000177;0.0026713
0.0000202;0.0028418
0.0000169;0.0026415
0.0000132;0.0023845
0.0000119;0.0023002
0.0000137;0.0024532
0.0000143;0.0024707
0.0000169;0.0026471
0.0000171;0.0025794
0.0000138;0.0024536
0.0000132;0.0023938
0.0000145;0.0024827
0.0000134;0.0024215
0.0000142;0.0024407
0.0000147;0.0024687
0.0000135;0.0023954
0.0000148;0.0024711
0.0000124;0.0023379
0.0000122;0.0023192
0.0000127;0.0023217
0.0000131;0.0023836
0.0000151;0.0025137
0.0000144;0.0024526
0.0000118;0.0022987
0.0000118;0.0022943
0.0000113;0.0022571
0.0000161;0.0025214
0.0000198;0.0027727
0.0000161;0.0025629
0.0000171;0.0026255
0.0000146;0.0024628
0.0000124;0.0023372
0.0000118;0.0022938
0.0000137;0.0024544
0.0000124;0.0023393
0.0000122;0.0023313
0.0000140;0.0024708
0.0000116;0.0022861
0.0000112;0.0022388
0.0000136;0.0023941
0.0000124;0.0023159
0.0000207;0.0027666
0.0000250;0.0029392
0.0000144;0.0024878
0.0000157;0.0025536
0.0000141;0.0024496
0.0000127;0.0023563
0.0000126;0.0023397
0.0000138;0.0024202
0.0000160;0.0026071
0.0000184;0.0027421
0.0000217;0.0028358
0.0000155;0.0025248
0.0000244;0.0028840
0.0000141;0.0024425
0.0000131;0.0023687
0.0000144;0.0024967
0.0000118;0.0022935
0.0000129;0.0023555
0.0000153;0.0025099
0.0000170;0.0025689
0.0000142;0.0024609
0.0000127;0.0023632
0.0000114;0.0022665
0.0000121;0.0022963
0.0000146;0.0024741
0.0000130;0.0023586
0.0000168;0.0025885
0.0000202;0.0028187
0.0000146;0.0024827
0.0000181;0.0026443
0.0000128;0.0023606
0.0000110;0.0022186
0.0000116;0.0022888
0.0000113;0.0022618
0.0000112;0.0022637
0.0000105;0.0021736
0.0000102;0.0021568
0.0000109;0.0022114
0.0000131;0.0023908
0.0000119;0.0022991
0.0000119;0.0023156
0.0000208;0.0027500
0.0000546;0.0039576
0.0000311;0.0032994
0.0000192;0.0027674
0.0000162;0.0025901
0.0000131;0.0024002
0.0000222;0.0028668
0.0000255;0.0030527
0.0000165;0.0026271
0.0000195;0.0026927
0.0000147;0.0024589
0.0000135;0.0023804
0.0000256;0.0029640
0.0000193;0.0027199
0.0000136;0.0023804
0.0000117;0.0022869
0.0000113;0.0022502
0.0000107;0.0022123
0.0000112;0.0022290
0.0000117;0.0022613
0.0000143;0.0023973
0.0000132;0.0023648
0.0000154;0.0025294
0.0000157;0.0025237
0.0000174;0.0026079
0.0000126;0.0023323
0.0000105;0.0021832
0.0000097;0.0021265
0.0000117;0.0022741
0.0000155;0.0025198
0.0000142;0.0024399
0.0000143;0.0024297
0.0000115;0.0022779
0.0000137;0.0023883
0.0000112;0.0022006
0.0000098;0.0021337
0.0000121;0.0022579
0.0000206;0.0027461
0.0000198;0.0027835
0.0000131;0.0023793
0.0000113;0.0022742
0.0000107;0.0021915
0.0000163;0.0025557
0.0000115;0.0022569
0.0000107;0.0021908
0.0000112;0.0022499
0.0000117;0.0022616
0.0000137;0.0023714
0.0000186;0.0026916
0.0000156;0.0025187
0.0000127;0.0023622
0.0000114;0.0022437
0.0000130;0.0023476
0.0000127;0.0023369
0.0000112;0.0022334
0.0000117;0.0022530
0.0000121;0.0022569
0.0000167;0.0025701
0.0000157;0.0024198
0.0000111;0.0022310
0.0000100;0.0021496
0.0000099;0.0021293
0.0000108;0.0022005
0.0000123;0.0022810
0.0000157;0.0024737
0.0000107;0.0021978
0.0000105;0.0021800
0.0000103;0.0021577
0.0000106;0.0021807
0.0000106;0.0021818
0.0000105;0.0021934
0.0000111;0.0022122
0.0000108;0.0022128
0.0000109;0.0022174
0.0000144;0.0024140
0.0000115;0.0022357
0.0000125;0.0022993
0.0000198;0.0026839
0.0000166;0.0026051
0.0000113;0.0022430
0.0000126;0.0022893
0.0000106;0.0021806
0.0000094;0.0020875
0.0000095;0.0020949
0.0000115;0.0022342
0.0000109;0.0022132
0.0000124;0.0023315
0.0000172;0.0025925
0.0000150;0.0024377
0.0000173;0.0025678
0.0000151;0.0024907
0.0000168;0.0025781
0.0000629;0.0039273
0.0000682;0.0044613
0.0000405;0.0036391
0.0000288;0.0031879
0.0000177;0.0026121
0.0000123;0.0023012
0.0000108;0.0021938
0.0000098;0.0021153
0.0000124;0.0022492
0.0000108;0.0022120
0.0000104;0.0021640
0.0000098;0.0021127
0.0000112;0.0021933
0.0000120;0.0022770
0.0000092;0.0020668
0.0000091;0.0020620
0.0000093;0.0020698
0.0000089;0.0020394
0.0000092;0.0020609
0.0000118;0.0022712
0.0000132;0.0023974
0.0000138;0.0023960
0.0000121;0.0022631
0.0000091;0.0020571
0.0000092;0.0020651
0.0000094;0.0020845
0.0000091;0.0020600
0.0000088;0.0020387
0.0000100;0.0021215
0.0000116;0.0022476
0.0000110;0.0022094
0.0000125;0.0022988
0.0000105;0.0021577
0.0000132;0.0023625
0.0000121;0.0022823
0.0000113;0.0022261
0.0000106;0.0021805
0.0000090;0.0020460
0.0000090;0.0020421
0.0000086;0.0020099
0.0000097;0.0020977
0.0000104;0.0021520
0.0000102;0.0021585
0.0000131;0.0023468
0.0000110;0.0022027
0.0000100;0.0021165
0.0000102;0.0021350
0.0000097;0.0021143
