# mean; median; std; sam; rmse; rmse; ergas; uqi
0.70292;1.00000;0.89765;0.07972;1.14012;0.00447;3.12543;0.99035
0.71496;1.00000;1.00558;0.10469;1.23384;0.00484;3.12543;0.95101
0.62434;1.00000;0.90633;0.09068;1.10056;0.00432;3.12543;0.81985
0.56177;1.00000;0.76900;0.08199;0.95234;0.00373;3.12543;0.78438
0.50813;0.00000;0.68318;0.07145;0.85143;0.00334;3.12543;0.77211
0.42096;0.00000;0.66376;0.06860;0.78599;0.00308;3.12543;0.75929
0.36725;0.00000;0.66529;0.06775;0.75992;0.00298;3.12543;0.76503
0.39362;0.00000;0.68115;0.06900;0.78670;0.00309;3.12543;0.79039
0.45126;0.00000;0.69350;0.06541;0.82739;0.00324;3.12543;0.78245
0.49930;0.00000;0.74091;0.05125;0.89345;0.00350;3.12543;0.78036
0.52266;0.00000;0.86132;0.03887;1.00750;0.00395;3.12543;0.76599
0.56641;0.00000;1.03299;0.03223;1.17809;0.00462;3.12543;0.74990
0.58698;0.00000;1.10649;0.03045;1.25254;0.00491;3.12543;0.75162
0.51765;0.00000;1.01992;0.02961;1.14376;0.00449;3.12543;0.74174
0.49796;0.00000;0.92245;0.03044;1.04828;0.00411;3.12543;0.69470
0.43343;0.00000;0.83446;0.03069;0.94031;0.00369;3.12543;0.70110
0.39840;0.00000;0.76784;0.03056;0.86505;0.00339;3.12543;0.75004
0.40300;0.00000;0.70777;0.03032;0.81446;0.00319;3.12543;0.76868
0.40579;0.00000;0.70062;0.03039;0.80965;0.00318;3.12543;0.77757
0.48582;0.00000;0.90547;0.02964;1.02757;0.00403;3.12543;0.77068
0.62434;0.00000;1.11428;0.02324;1.27727;0.00501;3.12543;0.76969
0.61810;0.00000;0.98631;0.01640;1.16399;0.00456;3.12543;0.78290
0.58247;0.00000;0.95201;0.01582;1.11606;0.00438;3.12543;0.79403
0.62293;0.00000;1.06497;0.01807;1.23378;0.00484;3.12543;0.79884
0.63167;0.00000;1.07940;0.01873;1.25065;0.00490;3.12543;0.80165
0.62658;0.00000;1.05133;0.01973;1.22388;0.00480;3.12543;0.80500
0.63003;0.00000;1.02023;0.02094;1.19908;0.00470;3.12543;0.81456
0.63720;0.00000;0.96362;0.02224;1.15524;0.00453;3.12543;0.81963
0.68924;1.00000;1.02560;0.02539;1.23568;0.00485;3.12543;0.83524
0.76635;1.00000;1.11618;0.02874;1.35394;0.00531;3.12543;0.86733
0.95987;1.00000;1.28848;0.03461;1.60672;0.00630;3.12543;0.90325
