# mean; median; std; sam; rmse; rmse; ergas; uqi
0.81521;1.00000;1.32156;0.11465;1.55277;0.00609;0.28869;0.98845
0.79808;1.00000;1.56086;0.15232;1.75306;0.00687;0.28869;0.95931
0.70452;1.00000;1.40468;0.13338;1.57145;0.00616;0.28869;0.80485
0.51164;0.00000;1.08861;0.10713;1.20285;0.00472;0.28869;0.81058
0.55537;0.00000;0.95794;0.09441;1.10729;0.00434;0.28869;0.78429
0.46974;0.00000;0.94140;0.09305;1.05209;0.00413;0.28869;0.76179
0.43632;0.00000;0.97635;0.09594;1.06941;0.00419;0.28869;0.76053
0.43283;0.00000;0.97675;0.09657;1.06836;0.00419;0.28869;0.78751
0.52264;0.00000;0.96131;0.08956;1.09420;0.00429;0.28869;0.76747
0.56421;0.00000;0.97205;0.06789;1.12393;0.00441;0.28869;0.78215
0.60072;0.00000;1.20151;0.05357;1.34331;0.00527;0.28869;0.80476
0.63508;0.00000;1.56646;0.04717;1.69031;0.00663;0.28869;0.81551
0.67982;0.00000;1.69906;0.04538;1.83002;0.00718;0.28869;0.80638
0.61647;0.00000;1.52674;0.04344;1.64651;0.00646;0.28869;0.79007
0.55264;0.00000;1.32842;0.04210;1.43879;0.00564;0.28869;0.78337
0.54638;0.00000;1.21487;0.04291;1.33208;0.00522;0.28869;0.76261
0.53123;0.00000;1.17092;0.04540;1.28579;0.00504;0.28869;0.77152
0.60151;0.00000;1.16105;0.04807;1.30761;0.00513;0.28869;0.74491
0.59483;0.00000;1.15991;0.04865;1.30354;0.00511;0.28869;0.73497
0.71285;0.00000;1.48025;0.04717;1.64295;0.00644;0.28869;0.73562
0.92924;0.00000;2.21176;0.04376;2.39904;0.00941;0.28869;0.76883
0.81833;0.00000;2.22011;0.03520;2.36613;0.00928;0.28869;0.80941
0.98294;0.00000;2.07428;0.03260;2.29539;0.00900;0.28869;0.83362
1.10611;0.00000;2.20360;0.03518;2.46563;0.00967;0.28869;0.84194
1.16504;0.00000;2.25053;0.03659;2.53420;0.00994;0.28869;0.83501
1.14349;1.00000;2.13918;0.03781;2.42563;0.00951;0.28869;0.82705
1.02390;1.00000;1.97807;0.03905;2.22736;0.00873;0.28869;0.82823
0.96407;1.00000;1.86382;0.04099;2.09839;0.00823;0.28869;0.83601
0.97939;1.00000;1.92487;0.04510;2.15971;0.00847;0.28869;0.84624
1.18980;1.00000;2.11589;0.05128;2.42747;0.00952;0.28869;0.87100
1.58975;1.00000;2.42272;0.06137;2.89774;0.01136;0.28869;0.89279
