# mean; median; std; sam; rmse; rmse; ergas; uqi
2.90469;2.00000;3.04481;0.11318;4.20809;0.01650;0.78226;0.99281
3.03116;2.00000;3.60190;0.13177;4.70761;0.01846;0.78226;0.99099
1.91227;1.00000;2.53521;0.10673;3.17554;0.01245;0.78226;0.99429
1.29340;1.00000;1.77509;0.07652;2.19632;0.00861;0.78226;0.99640
0.88012;1.00000;1.15464;0.05143;1.45183;0.00569;0.78226;0.99728
0.80384;1.00000;1.09055;0.05102;1.35479;0.00531;0.78226;0.99614
0.96841;1.00000;1.36272;0.06353;1.67177;0.00656;0.78226;0.99455
1.00705;1.00000;1.42416;0.06436;1.74424;0.00684;0.78226;0.99386
1.09802;1.00000;1.48946;0.06599;1.85044;0.00726;0.78226;0.99254
0.97485;1.00000;1.33236;0.06024;1.65091;0.00647;0.78226;0.99264
0.86008;1.00000;1.15255;0.05419;1.43810;0.00564;0.78226;0.99060
0.77753;1.00000;1.07597;0.04797;1.32751;0.00521;0.78226;0.98959
0.81300;1.00000;1.04751;0.04555;1.32598;0.00520;0.78226;0.98872
0.82536;1.00000;1.03460;0.04534;1.32348;0.00519;0.78226;0.99042
0.77995;1.00000;1.00916;0.04459;1.27544;0.00500;0.78226;0.99129
0.81730;1.00000;1.04566;0.04527;1.32718;0.00520;0.78226;0.99134
0.85292;1.00000;1.11902;0.04662;1.40701;0.00552;0.78226;0.99294
0.90281;1.00000;1.16635;0.04601;1.47494;0.00578;0.78226;0.99518
0.89937;1.00000;1.13370;0.04189;1.44711;0.00567;0.78226;0.99688
0.85632;1.00000;1.13605;0.03860;1.42264;0.00558;0.78226;0.99818
0.84600;1.00000;1.17055;0.03649;1.44426;0.00566;0.78226;0.99881
0.77048;1.00000;1.11518;0.03098;1.35546;0.00532;0.78226;0.99913
0.83764;1.00000;1.16399;0.02982;1.43405;0.00562;0.78226;0.99923
1.05939;1.00000;1.35030;0.03363;1.71628;0.00673;0.78226;0.99921
1.39110;1.00000;1.61638;0.03784;2.13257;0.00836;0.78226;0.99898
1.89799;1.00000;1.98985;0.04557;2.74988;0.01078;0.78226;0.99850
2.74349;2.00000;2.65284;0.05834;3.81632;0.01497;0.78226;0.99741
3.48944;3.00000;3.29605;0.06659;4.80002;0.01882;0.78226;0.99672
4.69271;3.00000;4.30900;0.08209;6.37095;0.02498;0.78226;0.99480
5.82107;4.00000;5.30414;0.09610;7.87520;0.03088;0.78226;0.99265
6.78189;5.00000;6.24071;0.10587;9.21631;0.03614;0.78226;0.99100
