# MSE;MAE
0.1356862;0.3502597
0.1342891;0.3482994
0.1316843;0.3445912
0.1256964;0.3359110
0.1122701;0.3154981
0.0861509;0.2711417
0.0479942;0.1935793
0.0191192;0.1166853
0.0136857;0.0906900
0.0146423;0.0911867
0.0126513;0.0832080
0.0103646;0.0745610
0.0096640;0.0731708
0.0092185;0.0736423
0.0088085;0.0731568
0.0084615;0.0718737
0.0082738;0.0711525
0.0082156;0.0706628
0.0081744;0.0701767
0.0080969;0.0698502
0.0080513;0.0701376
0.0080515;0.0706195
0.0079850;0.0701315
0.0079336;0.0689018
0.0079095;0.0682998
0.0078599;0.0681511
0.0078315;0.0682749
0.0077805;0.0683881
0.0077145;0.0678901
0.0077143;0.0672662
0.0076759;0.0669039
0.0076322;0.0673450
0.0076124;0.0682627
0.0075677;0.0682845
0.0075132;0.0679211
0.0074241;0.0670787
0.0073876;0.0662889
0.0073410;0.0660097
0.0072835;0.0656744
0.0072320;0.0655737
0.0071712;0.0653304
0.0071256;0.0651744
0.0070894;0.0647164
0.0069997;0.0643464
0.0069301;0.0645789
0.0068934;0.0649176
0.0068669;0.0650694
0.0067896;0.0647719
0.0066920;0.0638803
0.0065868;0.0631320
0.0065166;0.0628773
0.0064526;0.0627714
0.0063527;0.0621628
0.0062631;0.0613532
0.0061493;0.0607007
0.0060787;0.0599569
0.0059946;0.0591555
0.0059489;0.0593997
0.0057776;0.0591723
0.0056484;0.0583853
0.0055092;0.0570987
0.0054752;0.0562421
0.0053157;0.0559125
0.0051701;0.0558749
0.0050503;0.0553392
0.0048937;0.0539033
0.0047670;0.0532897
0.0045720;0.0522077
0.0044302;0.0508886
0.0043251;0.0507766
0.0040912;0.0496406
0.0039312;0.0477736
0.0037797;0.0465286
0.0035999;0.0457668
0.0034735;0.0448293
0.0033230;0.0435028
0.0032629;0.0427625
0.0031488;0.0416851
0.0030948;0.0415240
0.0029381;0.0404083
0.0029411;0.0395002
0.0028324;0.0386524
0.0028225;0.0394951
0.0026556;0.0376801
0.0026762;0.0372147
0.0025890;0.0370179
0.0025754;0.0369314
0.0025218;0.0360361
0.0024492;0.0356576
0.0024639;0.0359135
0.0023885;0.0349607
0.0023547;0.0347086
0.0023317;0.0346128
0.0023044;0.0342989
0.0022690;0.0339994
0.0022486;0.0338129
0.0022197;0.0335513
0.0021951;0.0333154
0.0021748;0.0331982
0.0021817;0.0330830
0.0021936;0.0332462
0.0021053;0.0324694
0.0021882;0.0330171
0.0021465;0.0328282
0.0020582;0.0320091
0.0020990;0.0322689
0.0020686;0.0324130
0.0020304;0.0317581
0.0020625;0.0320021
0.0020189;0.0316874
0.0019892;0.0313539
0.0019711;0.0311985
0.0019621;0.0311128
0.0019464;0.0309297
0.0019440;0.0309828
0.0019399;0.0308464
0.0019127;0.0305953
0.0019117;0.0306860
0.0019109;0.0305560
0.0019234;0.0308141
0.0018942;0.0303741
0.0018611;0.0301963
0.0018686;0.0302205
0.0018640;0.0302346
0.0018661;0.0304222
0.0019229;0.0307482
0.0018420;0.0301726
0.0018255;0.0299557
0.0018612;0.0302590
0.0018128;0.0298502
0.0018180;0.0298652
0.0018346;0.0300887
0.0018445;0.0299968
0.0017965;0.0296651
0.0017773;0.0294356
0.0017650;0.0294858
0.0017745;0.0295710
0.0017691;0.0295858
0.0017399;0.0292324
0.0017410;0.0292231
0.0017202;0.0289568
0.0017266;0.0292026
0.0017093;0.0289419
0.0017026;0.0289254
0.0016966;0.0288957
0.0016834;0.0287658
0.0016873;0.0287777
0.0016783;0.0287293
0.0016704;0.0286704
0.0016657;0.0287629
0.0016714;0.0287879
0.0016745;0.0289711
0.0016468;0.0285876
0.0016327;0.0284533
0.0016327;0.0284524
0.0016636;0.0288291
0.0016350;0.0287038
0.0016597;0.0287805
0.0015995;0.0283658
0.0015876;0.0282048
0.0015962;0.0283425
0.0015954;0.0284211
0.0016638;0.0289439
0.0015989;0.0286402
0.0016014;0.0284859
0.0015583;0.0280514
0.0015402;0.0277068
0.0015392;0.0276596
0.0015279;0.0276485
0.0015294;0.0277547
0.0015242;0.0275909
0.0015229;0.0278064
0.0015228;0.0277554
0.0015059;0.0275652
0.0014935;0.0274652
0.0014847;0.0273931
0.0014838;0.0274399
0.0014908;0.0274785
0.0014759;0.0275100
0.0014763;0.0275501
0.0014806;0.0276123
0.0014647;0.0275502
0.0015079;0.0279593
0.0014644;0.0277048
0.0014497;0.0272277
0.0014402;0.0272370
0.0014332;0.0272752
0.0014369;0.0272201
0.0014358;0.0272031
0.0014584;0.0278964
0.0014189;0.0270921
0.0014110;0.0270971
0.0014140;0.0272626
0.0014081;0.0270999
0.0013961;0.0269904
0.0013968;0.0269296
0.0013975;0.0271718
0.0013814;0.0269050
0.0013858;0.0269415
0.0014092;0.0275522
0.0013844;0.0269688
0.0013742;0.0269566
0.0013676;0.0267832
