# mean; median; std; sam; rmse; rmse; ergas; uqi
2.54998;2.00000;2.71909;0.09990;3.72771;0.01462;2.77433;0.99463
2.79773;2.00000;3.21599;0.11961;4.26261;0.01672;2.77433;0.99258
1.86974;1.00000;2.28662;0.09960;2.95374;0.01158;2.77433;0.99448
1.31106;1.00000;1.58938;0.07113;2.06034;0.00808;2.77433;0.99578
0.88575;1.00000;1.03820;0.04636;1.36470;0.00535;2.77433;0.99689
0.76062;1.00000;0.98996;0.04561;1.24843;0.00490;2.77433;0.99618
0.92831;1.00000;1.25102;0.05787;1.55782;0.00611;2.77433;0.99388
0.97580;1.00000;1.28878;0.05874;1.61652;0.00634;2.77433;0.99192
1.02893;1.00000;1.31357;0.05956;1.66858;0.00654;2.77433;0.99124
0.94956;1.00000;1.20313;0.05594;1.53271;0.00601;2.77433;0.99057
0.78872;1.00000;1.04151;0.05006;1.30645;0.00512;2.77433;0.98961
0.69902;1.00000;0.95261;0.04381;1.18157;0.00463;2.77433;0.98809
0.70361;1.00000;0.93939;0.04160;1.17368;0.00460;2.77433;0.98864
0.69807;1.00000;0.95525;0.04205;1.18313;0.00464;2.77433;0.99155
0.65850;1.00000;0.93840;0.04188;1.14639;0.00450;2.77433;0.99275
0.63420;0.00000;0.96214;0.04153;1.15236;0.00452;2.77433;0.99413
0.70389;1.00000;1.02522;0.04355;1.24360;0.00488;2.77433;0.99492
0.78928;1.00000;1.09533;0.04377;1.35008;0.00529;2.77433;0.99627
0.81601;1.00000;1.05804;0.04045;1.33616;0.00524;2.77433;0.99752
0.84246;1.00000;1.05649;0.03704;1.35127;0.00530;2.77433;0.99827
0.86998;1.00000;1.11573;0.03448;1.41482;0.00555;2.77433;0.99874
0.83245;1.00000;1.05121;0.02946;1.34091;0.00526;2.77433;0.99909
0.84926;1.00000;1.06192;0.02819;1.35975;0.00533;2.77433;0.99926
0.97346;1.00000;1.22680;0.03069;1.56609;0.00614;2.77433;0.99939
1.28535;1.00000;1.48274;0.03478;1.96231;0.00770;2.77433;0.99920
1.68205;1.00000;1.80691;0.04090;2.46864;0.00968;2.77433;0.99888
2.38657;2.00000;2.37317;0.05137;3.36566;0.01320;2.77433;0.99807
3.03595;2.00000;2.92398;0.05845;4.21505;0.01653;2.77433;0.99760
4.01635;3.00000;3.76471;0.07088;5.50491;0.02159;2.77433;0.99633
4.92238;4.00000;4.57346;0.08191;6.71910;0.02635;2.77433;0.99498
5.69876;4.00000;5.28707;0.08923;7.77361;0.03048;2.77433;0.99402
