# MSE;MAE
0.0196448;0.0929379
0.0022862;0.0331149
0.0015217;0.0283172
0.0011409;0.0253433
0.0005443;0.0168572
0.0004101;0.0143121
0.0003714;0.0134577
0.0003477;0.0128585
0.0003289;0.0123510
0.0003261;0.0122492
0.0003164;0.0120006
0.0003282;0.0122830
0.0003124;0.0119209
0.0003070;0.0118037
0.0002980;0.0116159
0.0002929;0.0115199
0.0002722;0.0109726
0.0002389;0.0099235
0.0002139;0.0091454
0.0002050;0.0089015
0.0001963;0.0086442
0.0001890;0.0084655
0.0001828;0.0082864
0.0001759;0.0080953
0.0001816;0.0082536
0.0001757;0.0080882
0.0001652;0.0077810
0.0001679;0.0078784
0.0001656;0.0077986
0.0001598;0.0076041
0.0001628;0.0077619
0.0001626;0.0077394
0.0001540;0.0074322
0.0001555;0.0074877
0.0001531;0.0073741
0.0001491;0.0072606
0.0001554;0.0074843
0.0001500;0.0073136
0.0001486;0.0072593
0.0001491;0.0072970
0.0001460;0.0071513
0.0001495;0.0072914
0.0001453;0.0071281
0.0001449;0.0071420
0.0001421;0.0070314
0.0001445;0.0071136
0.0001386;0.0068732
0.0001423;0.0070661
0.0001411;0.0070051
0.0001369;0.0068308
0.0001461;0.0072065
0.0001379;0.0069011
0.0001355;0.0068256
0.0001373;0.0069119
0.0001414;0.0070210
0.0001351;0.0068714
0.0001338;0.0067964
0.0001349;0.0068578
0.0001323;0.0067429
0.0001374;0.0069177
0.0001317;0.0067310
0.0001327;0.0067851
0.0001315;0.0067417
0.0001306;0.0067355
0.0001348;0.0068283
0.0001298;0.0066914
0.0001307;0.0067247
0.0001255;0.0065638
0.0001301;0.0067223
0.0001274;0.0066173
0.0001288;0.0067321
0.0001261;0.0065917
0.0001244;0.0065556
0.0001288;0.0067010
0.0001259;0.0065875
0.0001221;0.0064973
0.0001233;0.0065038
0.0001261;0.0066430
0.0001226;0.0065331
0.0001241;0.0065627
0.0001223;0.0064952
0.0001222;0.0064922
0.0001216;0.0065066
0.0001208;0.0064778
0.0001217;0.0065144
0.0001178;0.0063484
0.0001210;0.0064989
0.0001228;0.0065174
0.0001186;0.0064500
0.0001181;0.0064244
0.0001188;0.0064371
0.0001172;0.0063730
0.0001219;0.0065314
0.0001174;0.0063924
0.0001169;0.0063874
0.0001164;0.0063782
0.0001137;0.0062679
0.0001145;0.0063052
0.0001141;0.0062726
0.0001165;0.0063705
0.0001181;0.0064630
0.0001149;0.0063413
0.0001150;0.0063478
0.0001110;0.0061781
0.0001169;0.0063847
0.0001124;0.0062138
0.0001151;0.0063468
0.0001114;0.0062067
0.0001145;0.0063304
0.0001087;0.0061149
0.0001115;0.0062410
0.0001124;0.0062833
0.0001102;0.0061838
0.0001148;0.0063491
0.0001111;0.0062364
0.0001080;0.0060858
0.0001104;0.0062083
0.0001108;0.0062294
0.0001077;0.0060948
0.0001081;0.0061498
0.0001072;0.0060774
0.0001070;0.0060724
0.0001090;0.0062071
0.0001106;0.0062060
0.0001062;0.0060513
