# sam; rmse; rmse; ergas; uqi
0.05453;2.88014;0.01129;2.77433;0.99501
0.06013;3.29171;0.01291;0.78226;0.99462
0.06682;4.02013;0.01577;0.23454;0.99223
0.08875;4.40283;0.01727;0.06920;0.99103
0.12438;5.46401;0.02143;0.02285;0.98346
