# mean; median; std; sam; rmse; rmse; ergas; uqi
3.25062;2.00000;3.22614;0.12264;4.57979;0.01796;0.23454;0.99063
3.32033;2.00000;3.82234;0.13787;5.06309;0.01986;0.23454;0.98915
2.13223;1.00000;2.75246;0.11558;3.48173;0.01365;0.23454;0.99293
1.51359;1.00000;1.96861;0.08599;2.48322;0.00974;0.23454;0.99489
1.05442;1.00000;1.26854;0.05831;1.64955;0.00647;0.23454;0.99555
0.87840;1.00000;1.16797;0.05527;1.46142;0.00573;0.23454;0.99512
1.06614;1.00000;1.46902;0.06826;1.81512;0.00712;0.23454;0.99321
1.15623;1.00000;1.57161;0.07094;1.95111;0.00765;0.23454;0.99092
1.24174;1.00000;1.67174;0.07430;2.08246;0.00817;0.23454;0.99061
1.16197;1.00000;1.53991;0.06847;1.92912;0.00757;0.23454;0.98966
0.99293;1.00000;1.37391;0.06221;1.69515;0.00665;0.23454;0.98957
0.88272;1.00000;1.23053;0.05338;1.51440;0.00594;0.23454;0.98864
0.86862;1.00000;1.15186;0.04966;1.44266;0.00566;0.23454;0.98833
0.82344;1.00000;1.11785;0.04821;1.38840;0.00544;0.23454;0.99116
0.86809;1.00000;1.13307;0.04812;1.42739;0.00560;0.23454;0.99115
0.92609;1.00000;1.17548;0.04861;1.49646;0.00587;0.23454;0.99067
1.01126;1.00000;1.24797;0.04995;1.60626;0.00630;0.23454;0.99159
1.18896;1.00000;1.32133;0.05029;1.77751;0.00697;0.23454;0.99254
1.26693;1.00000;1.32490;0.04591;1.83316;0.00719;0.23454;0.99469
1.43111;1.00000;1.40377;0.04217;2.00466;0.00786;0.23454;0.99566
1.57900;1.00000;1.52148;0.03919;2.19275;0.00860;0.23454;0.99649
1.62611;1.00000;1.43350;0.03349;2.16776;0.00850;0.23454;0.99734
1.86412;2.00000;1.44972;0.03308;2.36149;0.00926;0.23454;0.99740
2.04575;2.00000;1.63192;0.03742;2.61692;0.01026;0.23454;0.99750
2.42612;2.00000;1.95944;0.04247;3.11857;0.01223;0.23454;0.99709
2.94145;2.00000;2.37188;0.05185;3.77862;0.01482;0.23454;0.99624
3.82228;3.00000;3.09727;0.06666;4.91964;0.01929;0.23454;0.99450
4.72322;4.00000;3.80848;0.07712;6.06740;0.02379;0.23454;0.99283
6.15792;5.00000;4.90169;0.09542;7.87061;0.03087;0.23454;0.98880
7.57336;6.00000;5.99975;0.11266;9.66193;0.03789;0.23454;0.98415
8.75977;7.00000;7.10879;0.12585;11.28134;0.04424;0.23454;0.98003
